INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20108157	2	1	8	157	MakeMaterial9_13	KÏ Ð£c V¸ Tuyªn	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 1-9 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	1	38	8	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	1	0	2000	-1	0
20108158	2	1	8	158	MakeMaterial9_14	Quái V¸ Nhøc	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 10-19 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	2	42	9	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	2	0	2000	-1	0
20108159	2	1	8	159	MakeMaterial9_15	Tàn Khuyªt Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 20-29 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	3	102	22	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	3	0	2000	-1	0
20108160	2	1	8	160	MakeMaterial9_16	Hoàn Chïnh Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 30-39 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	4	184	41	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	4	0	2000	-1	0
20108161	2	1	8	161	MakeMaterial10_1	Phát Quang Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 40-49 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	5	282	63	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	5	0	2000	-1	0
20108162	2	1	8	162	MakeMaterial10_2	Hoàn MÛ Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 50-59 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	6	402	63	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	6	0	2000	-1	0
20108163	2	1	8	163	MakeMaterial10_3	Thi¬m Lßþng Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 60-69 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	7	554	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	7	0	2000	-1	0
20108164	2	1	8	164	MakeMaterial10_4	Vô Hà Nµi Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 70-79 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	8	702	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	8	0	2000	-1	0
20108165	2	1	8	165	MakeMaterial10_5	Thú Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 80-89 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	9	864	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	9	0	2000	-1	0
20108166	2	1	8	166	MakeMaterial10_6	Yêu Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 90-99 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	10	1054	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	10	0	2000	-1	0
20108167	2	1	8	167	MakeMaterial10_7	Yêu Thú Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 100-109 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	11	1060	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	11	0	2000	-1	0
20108168	2	1	8	168	MakeMaterial10_8	Yêu Tiên Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 110-119 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	12	1176	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	12	0	2000	-1	0
20108169	2	1	8	169	MakeMaterial10_9	Løc S¡c D¸ch Th¬	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 1-9 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	1	38	8	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	1	0	2000	-1	0
20108170	2	1	8	170	MakeMaterial10_10	H°ng S¡c D¸ch Th¬	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 10-19 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	2	42	9	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	2	0	2000	-1	0
20108171	2	1	8	171	MakeMaterial10_11	Huyªt D¸ch Quái V§t	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 20-29 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	3	102	22	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	3	0	2000	-1	0
20108172	2	1	8	172	MakeMaterial10_12	Lông Cüa Quái V§t	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 30-39 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	4	184	41	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	4	0	2000	-1	0
20108173	2	1	8	173	MakeMaterial10_13	Móng Vu¯t KÏ LÕ	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 40-49 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	5	282	63	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	5	0	2000	-1	0
20108174	2	1	8	174	MakeMaterial10_14	H¡c Ám Nha Xï	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 50-59 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	6	402	63	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	6	0	2000	-1	0
20108175	2	1	8	175	MakeMaterial10_15	Dã Man Chi Huyªt	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 60-69 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	7	554	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	7	0	2000	-1	0
20108176	2	1	8	176	MakeMaterial10_16	Mänh Linh Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 70-79 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	8	702	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	8	0	2000	-1	0
20108177	2	1	8	177	MakeMaterial11_1	Linh Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 80-89 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	9	864	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	9	0	2000	-1	0
20108178	2	1	8	178	MakeMaterial11_2	D¸ Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 90-99 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	10	1054	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	10	0	2000	-1	0
20108179	2	1	8	179	MakeMaterial11_3	Phong Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 100-109 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	11	1060	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	11	0	2000	-1	0
20108180	2	1	8	180	MakeMaterial11_4	Lµ Ðan	Nguyên li®u thu¯c, Dã Thú, Mãng Cái, Tu La, Yêu Ma c¤p 110-119 r½i ra. Dùng chª thu¯c. #r#WTÕi #GÐÕi Lý (97,122) #RPhó Ðß½ng Quy#W, #GLÕc Dß½ng(232,307) #RTrß½ng Minh Cänh#W, #GLâu Lan(30,186) #RLan Tß LÕc Ð£c#W, #GThúc Hà C± Tr¤n(189,146) #RTß·ng Minh Hiên#W h÷c #GkÛ nång chª thu¯c#W. Ngß¶i ch½i ðÕt c¤p #G30#Wcó th¬ h÷c. 	12	1176	70	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	12	0	2000	-1	0
20109001	2	1	9	1	Stiletto1_1	Ngßu Giác	Ph± Thông Ngßu Giác, thô, d­ nát vøn. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 10.	1	33	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv1	1	0	2005	-1	0
20109002	2	1	9	2	Stiletto1_2	Trúc Ti­n	Ðoän ti­n ðßþc làm b¢ng loÕi trúc bình thß¶ng, m«m mÕi, ð¥u ti­n thÆng. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 20.	2	58	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv2	2	0	2005	-1	0
20109003	2	1	9	3	Stiletto1_3	Mao Ngßu Giác	Mao Ngßu có s×ng nh÷n, ð¥u s×ng cùn nhßng ðµ cÑng cao. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 30.	3	117	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv3	3	0	2005	-1	0
20109004	2	1	9	4	Stiletto1_4	TØ Trúc Ti­n	Ðoän ti­n ðßþc làm t× loÕi trúc tím 5 nåm tu±i, dëo dai vô cùng, dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 40.	4	204	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv4	4	0	2005	-1	0
20109005	2	1	9	5	Stiletto1_5	Ng÷c Tê Giác	Màu s¡c trong nhß ng÷c. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 50.	5	333	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv5	5	0	2005	-1	0
20109006	2	1	9	6	Stiletto1_6	Sß½ng Phi Ti­n	Trúc ti­n ðßþc Phong Ðao Sß½ng Kiªm cüa Tiêu Tß½ng Trúc tÕo ra, ð¥u ti­n có nÕm bÕc. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 60.	6	485	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv6	6	0	2005	-1	0
20109007	2	1	9	7	Stiletto1_7	Tu¤n Vân Giác	Ð°ng khí gi¯ng hình bán nguy®t, phía trên s×ng có kh¡c mây màu, s×ng nh÷n s¡c. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 70.	7	676	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv7	7	0	2005	-1	0
20109008	2	1	9	8	Stiletto1_8	LÕc Tinh Chi Ti­n	Ánh sáng l¤p lánh nhß lßu tinh, thân ti­n dài và cÑng, ð¥u ti­n ng¡n và möng. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 80.	8	909	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv8	8	0	2005	-1	0
20109009	2	1	9	9	Stiletto1_9	Phi Bào Chi Giác	Ðßþc kªt thành t× hàn thiªt ngàn nåm, cong cong, phía trß¾c nh÷n phía sau s¡c, h½i b¥u b¥u tinh tª, l¤p lánh ánh sáng bÕc. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 90.	9	1261	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv9	9	0	2005	-1	0
20109010	2	1	9	10	Stiletto1_10	Thái H°ng Chi Ti­n	Là ti­n ð¬ trong ¯ng tay áo tß½ng truy«n do Tiêu Dao ÐÕo Nhân tÕo ra, ánh sáng tña nhß c¥u v°ng, màu s¡c kÏ lÕ phi phàm, có th¬ làm vÞ kim thÕch. Dùng ð¬ ðøc l².#r#c43DBFFThích hþp cho trang b¸ t× c¤p 1 ðªn c¤p 100.	10	1709	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv10	10	0	2005	-1	0
20109011	2	1	9	11	Stiletto1_11	Nhßþc thüy chi giác	Ng÷c khí ðßþc 1 v¸ tiên nhân làm ra, b« ngoài cÑng cáp, nhßng b« trong thì lÕi möng. Dùng ð¬ ðøc l². #r#c43DBFF có th¬ dùng cho trang b¸ t× c¤p 1 ðªn c¤p 110.	11	2203	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv11	11	0	2005	-1	0
20109012	2	1	9	12	Stiletto1_12	Li®t tr§n phi ti­n	Thiên ð¸a ð¯i phong li®t tr§n chi v§t, có ngoÕi hình gi¯ng nhß phi ti­n, lþi th¤u phi phàm. Dùng ð¬ ðøc l². #r#c43DBFF có th¬ dùng cho trang b¸ t× c¤p 1 ðªn c¤p 120.	12	2849	1	4	1	-1	-1	1	-1	-1	-1	-1	N.Li®u Ðøc L² Lv12	12	0	2005	-1	0
20109013	2	1	9	13	Stiletto1_13	Tàng tân chi giác	PhÕm âm cäm hoá sß tâm chi giác, b« ngoài cÑng cáp vô cùng, Dùng ð¬ ðøc l². #r#c43DBFF có th¬ dùng cho trang b¸ t× c¤p 1 ðªn c¤p 130.	13	3540	1	4	1	-1	-1	1	-1	-1	-1	-1	Nguyên li®u ðøc l²	13	0	2005	-1	0
20109014	2	1	9	14	Stiletto1_14	ThÕch viêm chi ti­n	T× kim thÕch nghi«n nát và chª thành th¥n khí chi ti­n, có th¬ tinh luy®n th¥n linh chi lñc. Dùng ð¬ ðøc l². #r#c43DBFF có th¬ dùng cho trang b¸ t× c¤p 1 ðªn c¤p 140.	14	4375	1	4	1	-1	-1	1	-1	-1	-1	-1	Nguyên li®u ðøc l²	14	0	2005	-1	0
20109015	2	1	9	15	Stiletto1_15	Tam gi¾i chi ti­n	Dñng sinh vu tam gi¾i, th¥n khi do vô hình vô tßþng vô vi tÕo hành, có th¬ làm cho th¥n khí chuy¬n hóa thành sÑc mÕnh. Dùng ð¬ ðøc l². #r#c43DBFF có th¬ dùng cho trang b¸ t× c¤p 1 ðªn c¤p 150.	15	5212	1	4	1	-1	-1	1	-1	-1	-1	-1	Nguyên li®u ðøc l²	15	0	2005	-1	0
20109101	2	1	9	101	Stiletto1_16	Ði¬m kim chi ti­n	Th¥n Ma Chi Ti­n phát ra sÑc mÕnh h°n phách, chï có th¬ dùng ð¬ ðøc l² cao c¤p l² thÑ tß. Có th¬ ðªn g£p #GLÕc Dß½ng [280,322] #RBành Hoài Ng÷c#W, #GLâu Lan [279,198] #RKh¡c Lý Mµc#W, #GThúc Hà C± Tr¤n [134,185] #RKinh Khäm Thñc#W dùng #G5Vàng Khóa#W ð¬ ðøc l² cao c¤p!#r#c43DBFFThích hþp cho trang b¸ c¤p 80 có th¬ ðøc l² cao c¤p, thích hþp dùng ðøc l² cao c¤p cho trang b¸ nhß Võ H°n, Ám Khí, Trùng Lâu, Long Vån.	1	4	1	4	1	-1	-1	1	-1	-1	-1	-1	Nguyên li®u ðøc l²	10	0	2005	-1	0
20109102	2	1	9	102	Stiletto2_1	Xuyên ThÕch Chi Ti­n	Th¥n KÏ Chi Ti­n có th¬ ðâm xuyên kiên thÕch, chï có th¬ dùng trong ðøc l² cao c¤p l² thÑ 4. Có th¬ ðªn #GLâu Lan[219, 228]#RTrình Giäo Thiªt#W tiªn hành ðøc l² cao c¤p!#r#c43DBFFThích hþp dùng cho trang b¸ c¤p 80 ðªn 89 có th¬ ðøc l² cao c¤p.	1	4	1	4	1	-1	-1	1	-1	-1	-1	-1	Nguyên li®u ðøc l²	10	0	2005	-1	0
20301001	2	3	1	1	OtherTools1_1	Ðào T× Bình	Ðßþc làm t× g¯m, bình dùng ð¬ dñng dßþc hoàn	1	100	25	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	1	0	2000	-1	0
20301002	2	3	1	2	OtherTools1_3	BÕch Ng÷c Bình	Ðßþc làm ra t× bÕch ng÷c, bình dùng ð¬ ðñng thu¯c viên.	1	500	125	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	1	0	2000	-1	0
20301003	2	3	1	3	OtherTools1_2	Phï Thúy Bình	Ðßþc làm t× phï thúy, bình dùng ð¬ dñng thu¯c viên.	1	5000	135	4	40	-1	-1	1	-1	-1	-1	-1	V§t li®u chª dßþc	1	0	2000	-1	0
20301004	2	3	1	4	OtherTools1_4	Sâm Nhung (Hüy bö)	Dßþc li®u ðµng v§t	1	10	2	4	20	-1	-1	1	-1	-1	-1	-1	TÕp V§t	1	0	2000	-1	0
20301005	2	3	1	5	OtherTools1_5	Hùng Ðäm (Hüy bö)	Dßþc li®u ðµng v§t	1	10	2	4	20	-1	-1	1	-1	-1	-1	-1	TÕp V§t	1	0	2000	-1	0
20301006	2	3	1	6	OtherTools1_6	Báo Ðäm (Hüy bö)	Dßþc li®u ðµng v§t	1	10	2	4	20	-1	-1	1	-1	-1	-1	-1	TÕp V§t	1	0	2000	-1	0
20301007	2	3	2	7	Treasure3_9	Thánh Thú Lân	Väy KÏ Lân, có ánh sáng vàng. #rTÕi#GTô Châu(355,268) #RVân San San#W#Gð±i Bµ Trân Thú#W, #GTång c¤p sao Bµ Trân Thú#W. 	1	4	1	4	200	-1	-1	1	-1	-1	-1	-1	Ð£c bi®t	1	0	2000	-1	0
20301008	2	3	2	8	Treasure3_10	Thánh Thú Nha	Rång KÏ Lân, có ánh sáng vàng. #rTÕi#GTô Châu(355,268) #RVân San San#W#GTång c¤p sao cho Bµ Trân Thú 5 sao tr· lên#W. Khi Tång c¤p sao xác su¤t thành công tång#G15%#W. #r#GV§t ph¦m giao d¸ch b¢ng Kim Nguyên Bäo chï có th¬ bày bán trong Ti«n Trang LÕc Dß½ng (303,314). 	1	4	1	4	200	-1	-1	1	-1	-1	-1	-1	Ð£c bi®t	1	0	2000	-1	1
