INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3372	Áp TØ Biªn D¸		0	0	0	0	0	0							0	0
3379	Áp TØ Bäo Bäo		0	0	0	0	0	0							0	0
3380	S½n Dß½ng Trß·ng Thành		0	0	0	0	0	0							0	0
3381	S½n Dß½ng Biªn D¸		0	0	0	0	0	0							0	0
3382	S½n Dß½ng Biªn D¸		0	0	0	0	0	0							0	0
3389	S½n Dß½ng Bäo Bäo		0	0	0	0	0	0							0	0
3390	Mao Lß Trß·ng Thành		0	0	0	0	0	0							0	0
3391	Mao Lß Biªn D¸		0	0	0	0	0	0							0	0
3392	Mao Lß Biªn D¸		0	0	0	0	0	0							0	0
3399	Mao Lß Bäo Bäo		0	0	0	0	0	0							0	0
3400	Nga Trß·ng Thành		0	0	0	0	0	0							0	0
3401	Nga Biªn D¸		0	0	0	0	0	0							0	0
3402	Nga Biªn D¸		0	0	0	0	0	0							0	0
3409	Nga Bäo Bäo		0	0	0	0	0	0							0	0
3410	Bá Vß½ng Long Trß·ng Thành		0	0	0	0	0	0							0	0
3411	Bá Vß½ng Long Biªn D¸		0	0	0	0	0	0							0	0
3412	Bá Vß½ng Long Biªn D¸		0	0	0	0	0	0							0	0
3419	Bá Vß½ng Long Bäo Bäo		0	0	0	0	0	0							0	0
3420	Xí Nga Trß·ng Thành		0	0	0	0	0	0							0	0
3421	Xí Nga Biªn D¸		0	0	0	0	0	0							0	0
3422	Xí Nga Biªn D¸		0	0	0	0	0	0							0	0
3429	Xí Nga Bäo Bäo		0	0	0	0	0	0							0	0
3430	ÐÕi ThØ Trß·ng Thành		0	0	0	0	0	0							0	0
3431	ÐÕi ThØ Biªn D¸		0	0	0	0	0	0							0	0
3432	ÐÕi ThØ Biªn D¸		0	0	0	0	0	0							0	0
3439	ÐÕi ThØ Bäo Bäo		0	0	0	0	0	0							0	0
3440	Áp ChuÖ Thú Trß·ng Thành		0	0	0	0	0	0							0	0
3441	Áp ChuÖ Thú Biªn D¸		0	0	0	0	0	0							0	0
3442	Áp ChuÖ Thú Biªn D¸		0	0	0	0	0	0							0	0
3449	Áp ChuÖ Thú Bäo Bäo		0	0	0	0	0	0							0	0
3450	Trß Trß·ng Thành		0	0	0	0	0	0							0	0
3451	Trß Biªn D¸		0	0	0	0	0	0							0	0
3459	Trß Bäo Bäo		0	0	0	0	0	0							0	0
3460	Thanh Oa Trß·ng Thành		0	0	0	0	0	0							0	0
3461	Thanh Oa Biªn D¸		0	0	0	0	0	0							0	0
3469	Thanh Oa Bäo Bäo		0	0	0	0	0	0							0	0
3470	Ti¬u Tßþng Trß·ng Thành		0	0	0	0	0	0							0	0
3471	Ti¬u Tßþng Biªn D¸		0	0	0	0	0	0							0	0
3479	Ti¬u Tßþng Bäo Bäo		0	0	0	0	0	0							0	0
3480	Tuyªt H° Trß·ng Thành		0	0	0	0	0	0							0	0
3481	Tuyªt H° Biªn D¸		0	0	0	0	0	0							0	0
3489	Tuyªt H° Bäo Bäo		0	0	0	0	0	0							0	0
3490	Lang Trß·ng Thành	"#B Huy«n Vû Ðäo #{_INFOAIM200,162,112,-1}#W"	34	0	0	0	0	0							0	0
3491	Lang Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM200,162,112,-1}#W"	2	0	0	0	0	0							0	0
3492	Lang Biªn D¸	"#B Huy«n Vû Ðäo #{_INFOAIM200,162,112,-1}#W"	2	0	0	0	0	0							0	0
3499	Lang Bäo Bäo	"#B Huy«n Vû Ðäo #{_INFOAIM200,162,112,-1}#W"	0	0	0	0	0	0							0	0
