INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT
360	Pha chª Hoa TØ Tri Thù TØu	30203022	1	13	2	20101005	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
361	Pha chª Hoa TØ Ðµc HÕt TØu	30203023	1	13	5	20101016	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
362	Pha chª Ðµc Xà TØu	30203024	1	13	8	20101024	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
363	Pha chª Ð¸a Höa	30203025	1	12	2	20101005	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
364	Pha chª Thiên Hoä	30203026	1	12	6	20101016	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
365	Pha chª Minh Höa	30203027	1	12	8	20101024	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
366	Pha chª Nhân Ý Thiªp	30203028	1	19	2	20101005	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
367	Pha chª Ð¸a Ý Thiªp	30203029	1	19	5	20101016	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
368	Pha chª Thiên Ý thiªp	30203030	1	19	8	20101024	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
369	Pha chª M¸ch Nhân Tinh	30203031	1	14	2	20101005	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
370	Pha chª M¸ch V§t Tinh	30203032	1	14	5	20101016	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
371	Pha chª M¸ch Tâm Tinh	30203033	1	14	8	20101024	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
372	Pha chª ¿ng Nhãn C±	30203034	1	15	2	20101005	2	20108158	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
373	Pha chª Thiên Nhãn C±	30203035	1	15	5	20101016	3	20108161	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
374	Pha chª Th¥n Nhãn C±	30203036	1	15	8	20101024	6	20108164	6	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
375	Pha chª Xá Mi­n Xá Lþi	30204001	1	11	4	20101012	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
376	Pha chª Vinh Di®m Höa	30204002	1	12	4	20101012	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
377	Pha chª Tô Tïnh TØu	30204003	1	13	4	20101012	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
378	Pha chª Vô Úy phù	30204004	1	17	3	20101013	2	20108160	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
379	Pha chª ðµc Bách Hóa	30204005	1	16	4	20101013	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
380	Pha chª Tr× B®nh Ðan	30204006	1	18	6	20101013	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
381	Pha chª Dû Th¬ Tinh	30204007	1	14	4	20101011	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
382	Pha chª Thanh Tïnh Thiªp	30204008	1	19	6	20101011	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
383	Pha chª Bách MÕch C±	30204009	1	15	4	20101011	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
384	Pha chª Ða Chüy TØu	30205001	1	13	4	20101017	3	20108160	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
385	Pha chª Di®m Ðµc	30205002	1	16	6	20101017	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
386	Pha chª Nhß Lai Xá Lþi	30205003	1	11	6	20101017	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
387	Pha chª Huy«n Bång tinh	30205004	1	14	6	20101018	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
388	Pha chª Long Tinh C±	30205005	1	15	6	20101018	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
389	Pha chª Ba Quang Phù	30205006	1	17	6	20101018	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
390	Pha chª Ngßng Ðµc Tinh	30205007	1	14	6	20101019	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
391	Pha chª Dû Hþp Xá Lþi	30205008	1	11	6	20101019	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
392	Pha chª Hoa TØ Bång TØu	30205009	1	13	6	20101019	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
393	Pha chª B± Khß¾c Thiªp	30205010	1	19	3	20101017	2	20108162	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
394	Pha chª Ki®n Th¬ Xá Lþi	30205011	1	11	6	20101018	3	20108162	3	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
395	Pha chª Noãn Ý Höa	30205012	1	12	3	20101019	2	20108162	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
396	Pha chª T¯c Hành Hài	30505001	1	6	5	20103007	4	20108173	1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
397	Pha chª Tú C¥u	30601001	1	1	5	20105006	4	20108173	1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	0	1	19	3000	-1	-1	Ta ði«n r°i	-1	-1
398	Màn Th¥u Ph¯i Phß½ng	30101001	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	0	0	16	3000	-1	30101001	Ta ði«n r°i	-1	-1
399	ÐoÕn ThÕch chuy¬n hóa ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	28	1500	700959	-1	Mang Bán Sinh khoáng thÕch, ví dø nhß #G(Huy Ð°ng Khoáng ThÕch, BÕch Duyên Khoáng ThÕch, Lam Ð°ng Khoáng ThÕch) #Wchuy¬n hóa thành 1 viên ÐoÕn ThÕch có c¤p tß½ng Ñng. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
400	SC¤p Chú Thiªt CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	26	1500	700959	-1	Mang mµt nguyên li®u Ðúc c¤p 1-3, ví dø nhß #G(HoÕi TrÕo Ðao Binh, HoÕi TrÕo Thß½ng Cán, HoÕi TrÕo Ki¬m Sao) #Wchuy¬n hóa thành S½ C¤p Chú Thiªt. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
401	TC¤p Chú Thiªt CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	26	1500	700959	-1	Mang mµt nguyên li®u Ðúc c¤p 4-6, ví dø nhß #G(HoÕi TrÕo Ðao Binh, HoÕi TrÕo Thß½ng Cán, HoÕi TrÕo Ki¬m Sao) #Wchuy¬n hóa thành Trung C¤p Chú Thiªt. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
402	CC¤p Chú Thiªt CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	26	1500	700959	-1	Mang mµt nguyên li®u Ðúc c¤p 7-12, ví dø nhß #G(HoÕi TrÕo Ðao Binh, HoÕi TrÕo Thß½ng Cán, HoÕi TrÕo Ki¬m Sao) #Wchuy¬n hóa thành Cao C¤p Chú Thiªt. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
403	SC¤p B¯ Phiªn CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	27	1500	700959	-1	L¤y 1 nguyên li®u may m£c c¤p 1-3 #G(HoÕi Ði®u Thiên Nhãn, ho£c HoÕi Ði®u Hoàng C¯t, ho£c HoÕi Ði®u Ð¸a Tâm, ho£c HoÕi Ði®u Huy«n Ty,v.v)#W chuy¬n hóa thành 1 B¯ Phiªn S½ C¤p.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
404	TC¤p B¯ Phiªn CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	27	1500	700959	-1	L¤y 1 nguyên li®u may m£c c¤p 4-6 #G(Phá Cñu Thiên Nhãn, ho£c Phá Cñu Hoàng C¯t, ho£c Phá Cñu Ð¸a Tâm, ho£c Phá Cñu Huy«n Ty,v.v)#W chuy¬n hóa thành 1 B¯ Phiªn Trung C¤p.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
405	CC¤p B¯ Phiªn CH ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	27	1500	700959	-1	L¤y 1 nguyên li®u may m£c c¤p 7-12 #G(Phát Quang Thiên Nhãn, ho£c Phát Quang Hoàng C¯t, ho£c Phát Quang Ð¸a Tâm, ho£c Phát Quang Huy«n Ty,v.v)#W chuy¬n hóa thành 1 B¯ Phiªn Cao C¤p.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
406	Nh§n Cách chuy¬n hóa ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	28	1500	700959	-1	Mang mµt mänh Bì Mao, Bì Cách #G(Thäo Bì Cách, Thäo Bì Mao...) #Wchuy¬n hóa thành Nh§n Cách có c¤p tß½ng Ñng. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
407	Luyên ng÷c chuy¬n hóa ph¯i phß½ng	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	28	1500	700959	-1	Mang mµt nguyên li®u công ngh®, ví dø nhß #G(Phá T±n Ðích Hàn Vân, Th¤t Thái Ðích Tuyªt Phách..) #Wchuy¬n hóa thành mµt viên Luy®n Ng÷c cùng c¤p. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
408	Ph¯i phß½ng väi s½ c¤p	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	29	1500	700959	-1	L¤y 16 Nguyên li®u d®t may c¤p 1-3#G (Træ Ma, ho£c Thäo Miên, ho£c Á Ma)#W chuy¬n hóa thành 1  Ph± Thông B¯ Li®u.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
409	Ph¯i phß½ng väi li®u ßu tú	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	29	1500	700959	-1	L¤y 22 Nguyên li®u d®t may c¤p 4-6#G (Mµc Miên, ho£c Hoàng Ma, ho£c Vân Miên)#W chuy¬n hóa thành 1  ¿u Ch¤t B¯ Li®u.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
410	Ph¯i phß½ng väi li®u cñc ph¦m	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	29	1500	700959	-1	L¤y 29 Nguyên li®u d®t may c¤p 7-12#G (C¦n Ma, ho£c Nhung Miên, ho£c Thanh Ma, ho£c Thái Miên, ho£c La Ð¸a Ma, ho£c Løc Ð¸a Miên)#W chuy¬n hóa thành 1  Cñc Ph¦m B¯ Li®u.#r#c54FF00 (không tiêu hao hoÕt lñc)	-1	-1
411	Ph¯i phß½ng Tuyªn ðoàn	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	29	1500	700959	-1	Mang 40 cái #GTi Tuyªn#W hþp thành 1 #GTuyªn Ðoàn#W tß½ng Ñng v¾i c¤p. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
412	Ph¯i phß½ng ði«u chª nhi­m t­	-1	-1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	-1	29	1500	700959	-1	Mang 20 cái #GNhi­m Li®u#W ði«u chª thành 1 #GNhi­m T­#W tß½ng Ñng v¾i c¤p. #r#c54FF00 (Không tiêu hao hoÕt lñc)	-1	-1
413	Næ chân th¸ phøc ð° tß¶ng	10124076	1	5	1	20103103	1	20103112	50	20103115	10	20308071	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
414	Miêu vñc phong tình ð° tß¶ng	10124077	1	5	1	20103103	1	20103112	55	20103115	11	20308071	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
415	Ph¤n m£c nhân sinh ð° tß¶ng	10124078	1	5	1	20103103	1	20103112	60	20103115	12	20308071	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
416	Loan phøng hoà minh ð° tß¶ng	10124079	1	5	2	20103104	1	20103113	50	20103116	10	20308072	1	-1	-1	90	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
417	Ðoàn dñ ngæ yên ð° tß¶ng	10124080	1	5	2	20103104	1	20103113	55	20103116	11	20308072	1	-1	-1	100	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
418	Ám dÕ bách hþp ð° tß¶ng	10124081	1	5	2	20103104	1	20103113	60	20103116	12	20308072	1	-1	-1	110	-1	-1	-1	-1	-1	-1	0	-1	8	3000	700960	-1	-1	-1	-1
419	Dung Kim LÕc Nh§t Ð°	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	30000	335134	-1	Mang #G Liên Nhung Th¥n Tiªt#W ðúc thành #Y Th¥n Khí: Dung Kim LÕc Nh§t Ðao#W tß½ng Ñng v¾i c¤p: #r#GLiên Nhung Th¥n Tiªt [C¤p 1] --- Th¥n khí [C¤p 42] #r#GLiên Nhung Th¥n Tiªt [C¤p 2] --- Th¥n khí [C¤p 52] #r#GLiên Nhung Th¥n Tiªt [C¤p 3] --- Th¥n khí [C¤p 62] #r#GLiên Nhung Th¥n Tiªt [C¤p 4] --- Th¥n khí [C¤p 72] #r#GLiên Nhung Th¥n Tiªt [C¤p 5] --- Th¥n khí [C¤p 82] #r#GLiên Nhung Th¥n Tiªt [C¤p 6] --- Th¥n khí [C¤p 92]	-1	-1
420	Thu Thüy Vô Ng¤n Ð°	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	3	30000	335134	-1	Mang #G Liên Nhung Th¥n Tiªt#W ðúc thành #Y Th¥n Khí: Thu Thüy Vô Ng¤n Kiªm#W tß½ng Ñng v¾i c¤p: #r#GLiên Nhung Th¥n Tiªt [C¤p 1] --- Th¥n khí [C¤p 42] #r#GLiên Nhung Th¥n Tiªt [C¤p 2] --- Th¥n khí [C¤p 52] #r#GLiên Nhung Th¥n Tiªt [C¤p 3] --- Th¥n khí [C¤p 62] #r#GLiên Nhung Th¥n Tiªt [C¤p 4] --- Th¥n khí [C¤p 72] #r#GLiên Nhung Th¥n Tiªt [C¤p 5] --- Th¥n khí [C¤p 82] #r#GLiên Nhung Th¥n Tiªt [C¤p 6] --- Th¥n khí [C¤p 92]	-1	-1
421	Bích Häi Ngân Ðào Ð°	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	6	30000	335134	-1	Mang #G Liên Nhung Th¥n Tiªt#W ðúc thành #Y Th¥n Khí: Bích Häi Ngân Ðào Hoàn#W tß½ng Ñng v¾i c¤p: #r#GLiên Nhung Th¥n Tiªt [C¤p 1] --- Th¥n khí [C¤p 42] #r#GLiên Nhung Th¥n Tiªt [C¤p 2] --- Th¥n khí [C¤p 52] #r#GLiên Nhung Th¥n Tiªt [C¤p 3] --- Th¥n khí [C¤p 62] #r#GLiên Nhung Th¥n Tiªt [C¤p 4] --- Th¥n khí [C¤p 72] #r#GLiên Nhung Th¥n Tiªt [C¤p 5] --- Th¥n khí [C¤p 82] #r#GLiên Nhung Th¥n Tiªt [C¤p 6] --- Th¥n khí [C¤p 92]	-1	-1
422	VÕn Hách Tùng Phong Ð°	-1	-1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	5	30000	335134	-1	Mang #G Liên Nhung Th¥n Tiªt#W ðúc thành #Y Th¥n Khí: VÕn Hác Tùng Phong Phiªn#W tß½ng Ñng v¾i c¤p: #r#GLiên Nhung Th¥n Tiªt [C¤p 1] --- Th¥n khí [C¤p 42] #r#GLiên Nhung Th¥n Tiªt [C¤p 2] --- Th¥n khí [C¤p 52] #r#GLiên Nhung Th¥n Tiªt [C¤p 3] --- Th¥n khí [C¤p 62] #r#GLiên Nhung Th¥n Tiªt [C¤p 4] --- Th¥n khí [C¤p 72] #r#GLiên Nhung Th¥n Tiªt [C¤p 5] --- Th¥n khí [C¤p 82] #r#GLiên Nhung Th¥n Tiªt [C¤p 6] --- Th¥n khí [C¤p 92]	-1	-1
423	Huyªt S¡c Chiªn Giáp ð° tß¶ng	10124082	1	5	3	20103105	1	20103114	50	20103117	10	20308073	1	-1	-1	90	-1	-1	-1	-1	-1	-1	-1	-1	8	3000	700960	-1	-1	-1	-1
424	Tiên thu§t: Minh vû	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Tiên thu§t: Minh vû	-1	-1
425	KÜ Thu§t: Tuyªt khiêu	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Tuyªt khiêu	-1	-1
426	KÜ Thu§t: TØ Ði®n	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: TØ Ði®n	-1	-1
427	Tiên thu§t: ÐÕi Phong	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Tiên thu§t: ÐÕi Phong	-1	-1
428	Tiên thu§t: Hoàng cân lñc sî	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Tiên thu§t: Hoàng cân lñc sî	-1	-1
429	Tiên thu§t: Tuyªt Vû	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	Tiên thu§t: Tuyªt Vû	-1	-1
430	KÜ Thu§t: Hà mã	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Hà mã	-1	-1
431	KÜ Thu§t: Mã xa	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Mã xa	-1	-1
432	KÜ Thu§t: Thiên mã	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Thiên mã	-1	-1
433	KÜ Thu§t: Th¯ tØ	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Th¯ tØ	-1	-1
434	KÜ Thu§t: Vû sß	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Vû sß	-1	-1
435	KÜ Thu§t: Tu¥n lµc	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Tu¥n lµc	-1	-1
436	KÜ Thu§t: Ðà Ði¬u	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Ðà Ði¬u	-1	-1
437	KÜ Thu§t: Phù Vån KÜ Sî	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Phù Vån KÜ Sî	-1	-1
438	KÜ Thu§t: G¤u	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: G¤u	-1	-1
439	KÜ Thu§t: Mµc Ngßu Lßu Mã	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Mµc Ngßu Lßu Mã	-1	-1
440	KÜ Thu§t: Løc Ngô	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Løc Ngô	-1	-1
441	KÜ Thu§t: Huy«n Quy	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Huy«n Quy	-1	-1
442	KÜ Thu§t: Tê Ngßu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Tê Ngßu	-1	-1
443	KÜ Thu§t: ÐÕi Tßþng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: ÐÕi Tßþng	-1	-1
444	KÜ Thu§t: BÕch Tßþng	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: BÕch Tßþng	-1	-1
445	KÜ Thu§t: Løc hành Ðiêu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Løc hành Ðiêu	-1	-1
446	KÜ Thu§t: Løc Hành Ðiêu	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Løc Hành Ðiêu	-1	-1
447	KÜ Thu§t: H±	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: H±	-1	-1
448	KÜ Thu§t: Hoàng Phiêu Mã	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: Hoàng Phiêu Mã	-1	-1
449	KÜ Thu§t: LÕc Ðà	-1	-1	38	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5000	-1	-1	KÜ Thu§t: LÕc Ðà	-1	-1
