INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
85	10713	50	-1	5513	50	-1	20	10	-1	20	10	-1	20	10	-1	20	10	-1	5	946	50	50	941	50	50	10	946	50	50	941	50	50	10	-1	-1	1050	350	8	-1	-1	-1	-1	99	99	98	98	53	8	18	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
86	10833	50	-1	5575	50	-1	20	10	-1	20	10	-1	20	10	-1	20	10	-1	5	957	50	50	952	50	50	10	957	50	50	952	50	50	10	-1	-1	1062	354	8	-1	-1	-1	-1	100	100	99	99	54	8	18	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
87	10954	50	-1	5637	50	-1	20	10	-1	20	10	-1	20	10	-1	20	10	-1	5	967	50	50	962	50	50	10	967	50	50	962	50	50	10	-1	-1	1074	358	9	-1	-1	-1	-1	101	101	100	100	55	9	19	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
88	11074	50	-1	5699	50	-1	21	10	-1	21	10	-1	21	10	-1	21	10	-1	6	978	50	50	973	50	50	10	978	50	50	973	50	50	10	-1	-1	1086	362	9	-1	-1	-1	-1	102	102	101	101	55	9	19	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
89	11195	50	-1	5761	50	-1	21	10	-1	21	10	-1	21	10	-1	21	10	-1	6	989	50	50	984	50	50	10	989	50	50	984	50	50	10	-1	-1	1098	366	9	-1	-1	-1	-1	103	103	102	102	56	9	19	-1	-1	-1	-1	-1	10	10	10	10	-1	-1	-1	-1	-1	-1
90	11315	50	-1	5822	50	-1	21	11	-1	21	11	-1	21	11	-1	21	11	-1	6	999	50	50	994	50	50	11	999	50	50	994	50	50	11	-1	-1	1110	370	9	-1	-1	-1	-1	104	104	103	103	56	9	19	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
91	11436	50	-1	5884	50	-1	21	11	-1	21	11	-1	21	11	-1	21	11	-1	6	1010	50	50	1005	50	50	11	1010	50	50	1005	50	50	11	-1	-1	1122	374	9	-1	-1	-1	-1	106	106	105	105	57	9	19	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
92	11556	50	-1	5946	50	-1	21	11	-1	21	11	-1	21	11	-1	21	11	-1	6	1021	50	50	1016	50	50	11	1021	50	50	1016	50	50	11	-1	-1	1134	378	9	-1	-1	-1	-1	107	107	106	106	58	9	20	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
93	11677	50	-1	6008	50	-1	22	11	-1	22	11	-1	22	11	-1	22	11	-1	6	1031	50	50	1026	50	50	11	1031	50	50	1026	50	50	11	-1	-1	1146	382	9	-1	-1	-1	-1	108	108	107	107	58	9	20	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
94	11797	50	-1	6070	50	-1	22	11	-1	22	11	-1	22	11	-1	22	11	-1	6	1042	50	50	1037	50	50	11	1042	50	50	1037	50	50	11	-1	-1	1158	386	9	-1	-1	-1	-1	109	109	108	108	59	9	20	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
95	11918	50	-1	6132	50	-1	22	11	-1	22	11	-1	22	11	-1	22	11	-1	6	1053	50	50	1047	50	50	11	1053	50	50	1047	50	50	11	-1	-1	1170	390	9	-1	-1	-1	-1	110	110	109	109	59	9	20	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
96	12038	50	-1	6194	50	-1	22	11	-1	22	11	-1	22	11	-1	22	11	-1	6	1063	50	50	1058	50	50	11	1063	50	50	1058	50	50	11	-1	-1	1182	394	9	-1	-1	-1	-1	111	111	110	110	60	9	20	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
97	12159	50	-1	6256	50	-1	22	11	-1	22	11	-1	22	11	-1	22	11	-1	6	1074	50	50	1069	50	50	11	1074	50	50	1069	50	50	11	-1	-1	1194	398	9	-1	-1	-1	-1	112	112	111	111	61	9	21	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
98	12279	50	-1	6318	50	-1	23	11	-1	23	11	-1	23	11	-1	23	11	-1	6	1084	50	50	1079	50	50	11	1084	50	50	1079	50	50	11	-1	-1	1206	402	9	-1	-1	-1	-1	113	113	112	112	61	9	21	-1	-1	-1	-1	-1	11	11	11	11	-1	-1	-1	-1	-1	-1
99	12400	50	-1	6380	50	-1	23	12	-1	23	12	-1	23	12	-1	23	12	-1	6	1095	50	50	1090	50	50	12	1095	50	50	1090	50	50	12	-1	-1	1218	406	10	-1	-1	-1	-1	114	114	113	113	62	10	21	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
100	12520	50	-1	6441	50	-1	23	12	-1	23	12	-1	23	12	-1	23	12	-1	6	1106	50	50	1101	50	50	12	1106	50	50	1101	50	50	12	-1	-1	1230	410	10	-1	-1	-1	-1	115	115	114	114	62	10	21	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
101	12641	50	-1	6503	50	-1	23	12	-1	23	12	-1	23	12	-1	23	12	-1	6	1116	50	50	1111	50	50	12	1116	50	50	1111	50	50	12	-1	-1	1242	414	10	-1	-1	-1	-1	117	117	116	116	64	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
102	12761	50	-1	6565	50	-1	23	12	-1	23	12	-1	23	12	-1	23	12	-1	6	1127	50	50	1122	50	50	12	1127	50	50	1122	50	50	12	-1	-1	1254	418	10	-1	-1	-1	-1	118	118	117	117	65	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
103	12882	50	-1	6627	50	-1	24	12	-1	24	12	-1	24	12	-1	24	12	-1	6	1138	50	50	1133	50	50	12	1138	50	50	1133	50	50	12	-1	-1	1266	422	10	-1	-1	-1	-1	119	119	118	118	66	10	22	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
104	13002	50	-1	6689	50	-1	24	12	-1	24	12	-1	24	12	-1	24	12	-1	6	1148	50	50	1143	50	50	12	1148	50	50	1143	50	50	12	-1	-1	1278	426	10	-1	-1	-1	-1	120	120	119	119	67	10	23	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
105	13123	50	-1	6751	50	-1	24	12	-1	24	12	-1	24	12	-1	24	12	-1	6	1159	50	50	1154	50	50	12	1159	50	50	1154	50	50	12	-1	-1	1290	430	10	-1	-1	-1	-1	121	121	120	120	68	10	23	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
106	13243	50	-1	6813	50	-1	24	12	-1	24	12	-1	24	12	-1	24	12	-1	6	1170	50	50	1165	50	50	12	1170	50	50	1165	50	50	12	-1	-1	1302	434	11	-1	-1	-1	-1	122	122	121	121	69	11	23	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
107	13364	50	-1	6875	50	-1	25	12	-1	25	12	-1	25	12	-1	25	12	-1	7	1180	50	50	1175	50	50	12	1180	50	50	1175	50	50	12	-1	-1	1314	438	11	-1	-1	-1	-1	123	123	122	122	70	11	24	-1	-1	-1	-1	-1	12	12	12	12	-1	-1	-1	-1	-1	-1
108	13484	50	-1	6937	50	-1	25	13	-1	25	13	-1	25	13	-1	25	13	-1	7	1191	50	50	1186	50	50	13	1191	50	50	1186	50	50	13	-1	-1	1326	442	11	-1	-1	-1	-1	124	124	123	123	72	11	24	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
109	13605	50	-1	6999	50	-1	25	13	-1	25	13	-1	25	13	-1	25	13	-1	7	1202	50	50	1197	50	50	13	1202	50	50	1197	50	50	13	-1	-1	1338	446	11	-1	-1	-1	-1	125	125	124	124	73	11	25	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
110	13725	50	-1	7060	50	-1	25	13	-1	25	13	-1	25	13	-1	25	13	-1	7	1212	50	50	1207	50	50	13	1212	50	50	1207	50	50	13	-1	-1	1350	450	11	-1	-1	-1	-1	126	126	125	125	74	11	25	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
111	13846	50	-1	7122	50	-1	25	13	-1	25	13	-1	25	13	-1	25	13	-1	7	1223	50	50	1218	50	50	13	1223	50	50	1218	50	50	13	-1	-1	1362	454	12	-1	-1	-1	-1	128	128	127	127	75	12	25	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
112	13966	50	-1	7184	50	-1	26	13	-1	26	13	-1	26	13	-1	26	13	-1	7	1234	50	50	1228	50	50	13	1234	50	50	1228	50	50	13	-1	-1	1374	458	12	-1	-1	-1	-1	129	129	128	128	76	12	26	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
113	14087	50	-1	7246	50	-1	26	13	-1	26	13	-1	26	13	-1	26	13	-1	7	1244	50	50	1239	50	50	13	1244	50	50	1239	50	50	13	-1	-1	1386	462	12	-1	-1	-1	-1	130	130	129	129	78	12	26	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
114	14207	50	-1	7308	50	-1	26	13	-1	26	13	-1	26	13	-1	26	13	-1	7	1255	50	50	1250	50	50	13	1255	50	50	1250	50	50	13	-1	-1	1398	466	12	-1	-1	-1	-1	131	131	130	130	79	12	26	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
115	14328	50	-1	7370	50	-1	26	13	-1	26	13	-1	26	13	-1	26	13	-1	7	1265	50	50	1260	50	50	13	1265	50	50	1260	50	50	13	-1	-1	1410	470	12	-1	-1	-1	-1	132	132	131	131	80	12	27	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
116	14448	50	-1	7432	50	-1	26	13	-1	26	13	-1	26	13	-1	26	13	-1	7	1276	50	50	1271	50	50	13	1276	50	50	1271	50	50	13	-1	-1	1422	474	13	-1	-1	-1	-1	133	133	132	132	81	13	27	-1	-1	-1	-1	-1	13	13	13	13	-1	-1	-1	-1	-1	-1
117	14569	50	-1	7494	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1287	50	50	1282	50	50	14	1287	50	50	1282	50	50	14	-1	-1	1434	478	13	-1	-1	-1	-1	134	134	133	133	83	13	28	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
118	14689	50	-1	7556	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1297	50	50	1292	50	50	14	1297	50	50	1292	50	50	14	-1	-1	1446	482	13	-1	-1	-1	-1	135	135	134	134	84	13	28	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
119	14810	50	-1	7618	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1308	50	50	1303	50	50	14	1308	50	50	1303	50	50	14	-1	-1	1458	486	13	-1	-1	-1	-1	136	136	135	135	85	13	28	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
120	14930	50	-1	7679	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1319	50	50	1314	50	50	14	1319	50	50	1314	50	50	14	-1	-1	1470	490	13	-1	-1	-1	-1	137	137	136	136	86	13	29	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
121	15051	50	-1	7741	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1329	50	50	1324	50	50	14	1329	50	50	1324	50	50	14	-1	-1	1482	494	14	-1	-1	-1	-1	139	139	138	138	88	14	29	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
122	15171	50	-1	7803	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1340	50	50	1335	50	50	14	1340	50	50	1335	50	50	14	-1	-1	1494	498	14	-1	-1	-1	-1	140	140	139	139	89	14	30	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
123	15292	50	-1	7865	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1351	50	50	1346	50	50	14	1351	50	50	1346	50	50	14	-1	-1	1506	502	14	-1	-1	-1	-1	141	141	140	140	90	14	30	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
124	15412	50	-1	7927	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1361	50	50	1356	50	50	14	1361	50	50	1356	50	50	14	-1	-1	1518	506	14	-1	-1	-1	-1	142	142	141	141	92	14	30	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
125	15533	50	-1	7989	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1372	50	50	1367	50	50	14	1372	50	50	1367	50	50	14	-1	-1	1530	510	14	-1	-1	-1	-1	143	143	142	142	93	14	31	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
126	15653	50	-1	8051	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1383	50	50	1378	50	50	14	1383	50	50	1378	50	50	14	-1	-1	1542	514	15	-1	-1	-1	-1	144	144	143	143	94	15	31	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
127	15774	50	-1	8113	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1393	50	50	1388	50	50	14	1393	50	50	1388	50	50	14	-1	-1	1554	518	15	-1	-1	-1	-1	145	145	144	144	96	15	32	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
128	15894	50	-1	8175	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1404	50	50	1399	50	50	14	1404	50	50	1399	50	50	14	-1	-1	1566	522	15	-1	-1	-1	-1	146	146	145	145	97	15	32	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
129	16015	50	-1	8237	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1415	50	50	1409	50	50	14	1415	50	50	1409	50	50	14	-1	-1	1578	526	15	-1	-1	-1	-1	147	147	146	146	98	15	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
130	16135	50	-1	8298	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1425	50	50	1420	50	50	14	1425	50	50	1420	50	50	14	-1	-1	1590	530	15	-1	-1	-1	-1	148	148	147	147	100	15	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
131	16256	50	-1	8360	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1436	50	50	1431	50	50	14	1436	50	50	1431	50	50	14	-1	-1	1602	534	16	-1	-1	-1	-1	150	150	149	149	101	16	33	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
132	16376	50	-1	8422	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1446	50	50	1441	50	50	14	1446	50	50	1441	50	50	14	-1	-1	1614	538	16	-1	-1	-1	-1	151	151	150	150	102	16	34	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
133	16497	50	-1	8484	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1457	50	50	1452	50	50	14	1457	50	50	1452	50	50	14	-1	-1	1626	542	16	-1	-1	-1	-1	152	152	151	151	104	16	34	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
134	16617	50	-1	8546	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1468	50	50	1463	50	50	14	1468	50	50	1463	50	50	14	-1	-1	1638	546	16	-1	-1	-1	-1	153	153	152	152	105	16	35	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
135	16738	50	-1	8608	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1478	50	50	1473	50	50	14	1478	50	50	1473	50	50	14	-1	-1	1650	550	17	-1	-1	-1	-1	154	154	153	153	107	17	35	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
136	16858	50	-1	8670	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1489	50	50	1484	50	50	14	1489	50	50	1484	50	50	14	-1	-1	1662	554	17	-1	-1	-1	-1	155	155	154	154	108	17	36	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
137	16979	50	-1	8732	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1500	50	50	1495	50	50	14	1500	50	50	1495	50	50	14	-1	-1	1674	558	17	-1	-1	-1	-1	156	156	155	155	110	17	36	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
138	17099	50	-1	8794	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1510	50	50	1505	50	50	14	1510	50	50	1505	50	50	14	-1	-1	1686	562	17	-1	-1	-1	-1	157	157	156	156	111	17	37	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
139	17220	50	-1	8856	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1521	50	50	1516	50	50	14	1521	50	50	1516	50	50	14	-1	-1	1698	566	17	-1	-1	-1	-1	158	158	157	157	113	17	37	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
140	17340	50	-1	8917	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1532	50	50	1527	50	50	14	1532	50	50	1527	50	50	14	-1	-1	1710	570	18	-1	-1	-1	-1	159	159	158	158	114	18	38	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
141	17461	50	-1	8979	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1542	50	50	1537	50	50	14	1542	50	50	1537	50	50	14	-1	-1	1722	574	18	-1	-1	-1	-1	161	161	160	160	116	18	38	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
142	17581	50	-1	9041	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1553	50	50	1548	50	50	14	1553	50	50	1548	50	50	14	-1	-1	1734	578	18	-1	-1	-1	-1	162	162	161	161	117	18	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
143	17702	50	-1	9103	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1564	50	50	1559	50	50	14	1564	50	50	1559	50	50	14	-1	-1	1746	582	18	-1	-1	-1	-1	163	163	162	162	119	18	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
144	17822	50	-1	9165	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1574	50	50	1569	50	50	14	1574	50	50	1569	50	50	14	-1	-1	1758	586	19	-1	-1	-1	-1	164	164	163	163	120	19	39	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
145	17943	50	-1	9227	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1585	50	50	1580	50	50	14	1585	50	50	1580	50	50	14	-1	-1	1770	590	19	-1	-1	-1	-1	165	165	164	164	122	19	40	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
146	18063	50	-1	9289	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1596	50	50	1590	50	50	14	1596	50	50	1590	50	50	14	-1	-1	1782	594	19	-1	-1	-1	-1	166	166	165	165	123	19	40	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
147	18184	50	-1	9351	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1606	50	50	1601	50	50	14	1606	50	50	1601	50	50	14	-1	-1	1794	598	19	-1	-1	-1	-1	167	167	166	166	125	19	41	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
148	18304	50	-1	9413	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1617	50	50	1612	50	50	14	1617	50	50	1612	50	50	14	-1	-1	1806	602	20	-1	-1	-1	-1	168	168	167	167	126	20	41	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
149	18425	50	-1	9475	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1627	50	50	1622	50	50	14	1627	50	50	1622	50	50	14	-1	-1	1818	606	20	-1	-1	-1	-1	169	169	168	168	128	20	42	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
150	18545	50	-1	9536	50	-1	27	14	-1	27	14	-1	27	14	-1	27	14	-1	7	1638	50	50	1633	50	50	14	1638	50	50	1633	50	50	14	-1	-1	1830	610	20	-1	-1	-1	-1	170	170	169	169	129	20	42	-1	-1	-1	-1	-1	14	14	14	14	-1	-1	-1	-1	-1	-1
1001	591	50	-1	313	50	-1	6	1	-1	6	1	-1	6	1	-1	6	1	-1	1	52	50	50	47	50	50	1	52	50	50	47	50	50	1	-1	-1	42	14	2	-1	-1	-1	-1	7	7	6	6	3	2	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1002	711	50	-1	375	50	-1	7	1	-1	7	1	-1	7	1	-1	7	1	-1	1	62	50	50	57	50	50	1	62	50	50	57	50	50	1	-1	-1	54	18	2	-1	-1	-1	-1	8	8	7	7	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1003	832	50	-1	437	50	-1	7	1	-1	7	1	-1	7	1	-1	7	1	-1	1	73	50	50	68	50	50	1	73	50	50	68	50	50	1	-1	-1	66	22	2	-1	-1	-1	-1	9	9	8	8	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1004	952	50	-1	499	50	-1	8	1	-1	8	1	-1	8	1	-1	8	1	-1	1	84	50	50	79	50	50	1	84	50	50	79	50	50	1	-1	-1	78	26	2	-1	-1	-1	-1	10	10	9	9	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1005	1073	50	-1	561	50	-1	9	1	-1	9	1	-1	9	1	-1	9	1	-1	1	94	50	50	89	50	50	1	94	50	50	89	50	50	1	-1	-1	90	30	2	-1	-1	-1	-1	11	11	10	10	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1006	1193	50	-1	623	50	-1	9	1	-1	9	1	-1	9	1	-1	9	1	-1	1	105	50	50	100	50	50	1	105	50	50	100	50	50	1	-1	-1	102	34	2	-1	-1	-1	-1	12	12	11	11	6	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1007	1314	50	-1	685	50	-1	10	1	-1	10	1	-1	10	1	-1	10	1	-1	1	116	50	50	111	50	50	1	116	50	50	111	50	50	1	-1	-1	114	38	2	-1	-1	-1	-1	13	13	12	12	7	2	3	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
1008	1434	50	-1	747	50	-1	10	2	-1	10	2	-1	10	2	-1	10	2	-1	1	126	50	50	121	50	50	2	126	50	50	121	50	50	2	-1	-1	126	42	2	-1	-1	-1	-1	14	14	13	13	7	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1009	1555	50	-1	809	50	-1	11	2	-1	11	2	-1	11	2	-1	11	2	-1	1	137	50	50	132	50	50	2	137	50	50	132	50	50	2	-1	-1	138	46	2	-1	-1	-1	-1	15	15	14	14	8	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1010	1675	50	-1	870	50	-1	12	2	-1	12	2	-1	12	2	-1	12	2	-1	2	148	50	50	142	50	50	2	148	50	50	142	50	50	2	-1	-1	150	50	2	-1	-1	-1	-1	16	16	15	15	8	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1011	1796	50	-1	932	50	-1	12	2	-1	12	2	-1	12	2	-1	12	2	-1	2	158	50	50	153	50	50	2	158	50	50	153	50	50	2	-1	-1	162	54	2	-1	-1	-1	-1	18	18	17	17	9	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1012	1916	50	-1	994	50	-1	13	2	-1	13	2	-1	13	2	-1	13	2	-1	2	169	50	50	164	50	50	2	169	50	50	164	50	50	2	-1	-1	174	58	3	-1	-1	-1	-1	19	19	18	18	10	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1013	2037	50	-1	1056	50	-1	14	2	-1	14	2	-1	14	2	-1	14	2	-1	2	179	50	50	174	50	50	2	179	50	50	174	50	50	2	-1	-1	186	62	3	-1	-1	-1	-1	20	20	19	19	10	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1014	2157	50	-1	1118	50	-1	14	2	-1	14	2	-1	14	2	-1	14	2	-1	2	190	50	50	185	50	50	2	190	50	50	185	50	50	2	-1	-1	198	66	3	-1	-1	-1	-1	21	21	20	20	11	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1015	2278	50	-1	1180	50	-1	15	2	-1	15	2	-1	15	2	-1	15	2	-1	2	201	50	50	196	50	50	2	201	50	50	196	50	50	2	-1	-1	210	70	3	-1	-1	-1	-1	22	22	21	21	11	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1016	2398	50	-1	1242	50	-1	16	2	-1	16	2	-1	16	2	-1	16	2	-1	2	211	50	50	206	50	50	2	211	50	50	206	50	50	2	-1	-1	222	74	3	-1	-1	-1	-1	23	23	22	22	12	3	4	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
1017	2519	50	-1	1304	50	-1	16	3	-1	16	3	-1	16	3	-1	16	3	-1	2	222	50	50	217	50	50	3	222	50	50	217	50	50	3	-1	-1	234	78	3	-1	-1	-1	-1	24	24	23	23	13	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1018	2639	50	-1	1366	50	-1	17	3	-1	17	3	-1	17	3	-1	17	3	-1	2	233	50	50	228	50	50	3	233	50	50	228	50	50	3	-1	-1	246	82	3	-1	-1	-1	-1	25	25	24	24	13	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1019	2760	50	-1	1428	50	-1	18	3	-1	18	3	-1	18	3	-1	18	3	-1	2	243	50	50	238	50	50	3	243	50	50	238	50	50	3	-1	-1	258	86	3	-1	-1	-1	-1	26	26	25	25	14	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1020	2880	50	-1	1489	50	-1	18	3	-1	18	3	-1	18	3	-1	18	3	-1	2	254	50	50	249	50	50	3	254	50	50	249	50	50	3	-1	-1	270	90	3	-1	-1	-1	-1	27	27	26	26	14	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
1021	3001	50	-1	1551	50	-1	19	3	-1	19	3	-1	19	3	-1	19	3	-1	2	265	50	50	260	50	50	3	265	50	50	260	50	50	3	-1	-1	282	94	3	-1	-1	-1	-1	29	29	28	28	15	3	5	-1	-1	-1	-1	-1	3	3	3	3	-1	-1	-1	-1	-1	-1
