INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
#108	1	1	28	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_02}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	88
#109	1	1	36	0	808076	88	0	0	0	0	0	4	180	#{BBSX_20080317_03}	845	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	93
110	1	1	32	0	808076	88	0	0	0	0	0	4	180	#{YRJ_90219_8}	960	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng biªn thân	92
#111	1	1	50	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	-1
#112	1	1	78	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	-1
#113	1	1	86	-1	808083	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	-1
#114	1	1	48	0	808000	80	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	94
#115	1	1	76	0	808000	90	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	94
#116	1	1	84	0	808000	70	0	0	0	0	0	4	10	#{SHCD_20080317_01}	21	2	#{SHCD_20080317_02}	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Ê¥»ð´«µÝ»î¶¯	94
#117	1	0	12136	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12295
#118	1	0	12236	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12395
#119	1	0	12336	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12495
#120	1	0	12436	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12595
#121	1	0	12536	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12695
#122	1	0	12636	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12795
#123	1	0	12736	0	808076	88	0	0	0	0	0	4	180	#{LZP_20080416_01}	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	´ó¼ÒÒ»ÆðÀ´°ÚÌ¯»î¶¯	12895
#124	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 100	-1
125	1	1	32	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 100	-1
#126	0	2	658	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 7 cho ðµi c¤p 110	-1
127	1	1	32	1	808003	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÕi ðào sát vào thÑ 4 cho ðµi c¤p 110	-1
#128	1	0	11800	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	11895
#129	1	0	11900	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	11995
#130	1	0	12000	0	808076	88	0	0	0	0	0	4	240	#{SL_20080416_03}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	12095
#131	1	0	12100	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	12195
#132	1	0	12200	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	12295
#133	1	0	12300	0	808076	88	0	0	0	0	0	4	180	#{SL_20080416_04}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÎåÒ»Ê¦ÃÅÔùÀñ»î¶¯	12395
#134	1	0	11801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	11895
#135	1	0	11901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	11995
#136	1	0	12001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12095
#137	1	0	12101	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12195
#138	1	0	12201	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12295
#139	1	0	12301	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_002}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12395
#140	1	0	12401	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12495
#141	1	0	12501	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12595
#142	1	0	12601	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12695
#143	1	0	12701	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12795
#144	1	0	12801	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12895
#145	1	0	12901	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12995
#146	1	0	13001	0	808076	88	0	0	0	0	0	4	240	#{XSHCD_20080418_003}	1439	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	13095
#147	1	0	12479	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12495
#148	1	0	12579	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12595
#149	1	0	12679	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12695
#150	1	0	12779	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12795
#151	1	0	12879	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12895
#152	1	0	12979	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12995
#153	1	0	13079	0	808076	88	0	0	0	0	0	4	120	#{XSHCD_20080418_005}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	13095
#154	1	0	12479	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12495
#155	1	0	12579	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12595
#156	1	0	12679	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12695
#157	1	0	12779	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12795
#158	1	0	12879	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12895
#159	1	0	12979	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	12995
#160	1	0	13079	0	808076	88	0	0	0	0	0	4	60	#{XSHCD_20080418_006}	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐÂÊ¥»ð´«µÝ	13095
161	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
162	0	1	77	0	805041	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	Bäo hµ bang phái	95
163	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_01}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
164	1	1	5	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_02}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
165	1	1	1	0	808076	75	0	0	0	0	0	4	480	#{STZDY_20080513_03}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÐoÕt bäo sß ð° luyªn	95
166	1	1	0	420	808040	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trang b¸ cñc ph¦m	-1
167	0	1	2	420	820001	88	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1		-1
#168	1	1	76	0	808076	88	0	0	0	0	0	4	60	#PºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#YÃ÷ÌìÏÂÎç19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	°ÂÔËõí¾Ï»î¶¯Ô¤¸æ	95
#169	1	1	12	0	808076	75	0	0	0	0	0	4	120	#cff99ccºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#Y½ñÌìÏÂÎç19µãÕû#cff99ccÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	840	60	#cff99ccõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü½«ÔÚ#Y19µãÕû#cff99ccÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	960	60	#cff99ccõí¾Ï´óÈüºáÉ¨Äµµ¤Íë»î¶¯ÒÑ¾­¿ªÊ¼£¡Çë´ó¼Òµ½#GÂåÑô³Ç¶ËÍõ¸®[204£¬57]#cff99ccÕÒµ½#YÍ¯¹á#cff99cc´óÈË¡¢#G´óÀí[282£¬94]#YÏÄÇàÇà#cff99cc¡¢#GËÕÖÝ[187£¬147]#YÓÚÙ»Ù»#cff99cc²Î¼Ó±ÈÈü£¡	1140	30	#cff99ccõí¾Ï´óÈü¼´½«ÔÚ½ñÌìÍíÉÏ#Y23µã#cff99cc½áÊø±¾ÈÕµÄ±ÈÈü£¬Çë¸÷Â·Ó¢ÐÛ×¥½ôÊ±¼äÇå³¡ÁË£¡	1200	5	#cff99ccõí¾Ï´óÈü±¾ÈÕ±ÈÈüµ½´Ë½áÊø£¬Çë¸÷Â·Ó¢ÐÛ¹Ø×¢ÉÔºóµÄÈüÊÂ£¬Ð»Ð»£¡	1205	-1	°ÂÔËõí¾Ï»î¶¯¹«¸æ	95
170	0	1	66	0	808000	0	0	0	0	0	0	4	30	#PSñ ki®n #GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G19:30#P. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P ðªn #GLâu Lan - Kim CØu Linh (162,75)#P ðång ký tham gia.	170	5	#GLâu Lan T¥m Bäo#P s¨ b¡t ð¥u vào lúc #G19:30#P, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh là có th¬ tham gia. Ngß¶i ch½i ðÕt ðªn #Gc¤p 75#P và tâm pháp ðÕt ðªn #Gc¤p 40#P, chï c¥n t± ðµi #G>=3 ngß¶i#P thì có th¬ tham gia.	180	20	#GLâu Lan T¥m Bäo#P ðã b¡t ð¥u, hãy ðªn #GLâu Lan (162,75)#P tìm #GKim CØu Linh#P báo danh thì có th¬ tham gia	320	5	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, m÷i ngß¶i hãy kh¦n trß½ng nào!	329	1	#PSñ ki®n #GLâu Lan T¥m Bäo#P ngày hôm nay s¨ kªt thúc vào lúc #G22:00#P, cäm ½n m÷i ngß¶i tham gia. H©n g£p m÷i ngß¶i vào ngày mai !	330	-1	Lâu Lan T¥m Bäo	95
#171	0	1	85	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
172	0	1	87	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
#173	0	1	85	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	87
174	0	1	87	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	89
#175	0	0	26376	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	26395
#176	0	0	26412	0	808000	75	0	0	0	0	0	4	120	#PºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#Y½ñÌìÏÂÎç19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	840	60	#Põí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü½«ÔÚ#Y19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	960	30	#Põí¾Ï´óÈüºáÉ¨Äµµ¤Íë»î¶¯ÒÑ¾­¿ªÊ¼£¡Çë´ó¼Òµ½#GÂåÑô³Ç¶ËÍõ¸®[204£¬57]#PÕÒµ½#YÍ¯¹á#P´óÈË¡¢#G´óÀí[282£¬94]#YÏÄÇàÇà#P¡¢#GËÕÖÝ[187£¬147]#YÓÚÙ»Ù»#P²Î¼Ó±ÈÈü£¡	1140	30	#Põí¾Ï´óÈü¼´½«ÔÚ½ñÌìÍíÉÏ#Y23µã#P½áÊø±¾ÈÕµÄ±ÈÈü£¬Çë¸÷Â·Ó¢ÐÛ×¥½ôÊ±¼äÇå³¡ÁË£¡	1200	5	#Põí¾Ï´óÈü±¾ÈÕ±ÈÈüµ½´Ë½áÊø£¬Çë¸÷Â·Ó¢ÐÛÏÂ¸öÔÂÔÙÀ´¹Ø×¢±ÈÈü£¬Ð»Ð»£¡	1205	-1	ÖÜÈÕõí¾Ï»î¶¯¹«¸æ	26495
#177	0	0	29176	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	29195
#178	0	0	29212	0	808000	75	0	0	0	0	0	4	120	#PºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#Y½ñÌìÏÂÎç19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	840	60	#Põí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü½«ÔÚ#Y19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	960	30	#Põí¾Ï´óÈüºáÉ¨Äµµ¤Íë»î¶¯ÒÑ¾­¿ªÊ¼£¡Çë´ó¼Òµ½#GÂåÑô³Ç¶ËÍõ¸®[204£¬57]#PÕÒµ½#YÍ¯¹á#P´óÈË¡¢#G´óÀí[282£¬94]#YÏÄÇàÇà#P¡¢#GËÕÖÝ[187£¬147]#YÓÚÙ»Ù»#P²Î¼Ó±ÈÈü£¡	1140	30	#Põí¾Ï´óÈü¼´½«ÔÚ½ñÌìÍíÉÏ#Y23µã#P½áÊø±¾ÈÕµÄ±ÈÈü£¬Çë¸÷Â·Ó¢ÐÛ×¥½ôÊ±¼äÇå³¡ÁË£¡	1200	5	#Põí¾Ï´óÈü±¾ÈÕ±ÈÈüµ½´Ë½áÊø£¬Çë¸÷Â·Ó¢ÐÛÏÂ¸öÔÂÔÙÀ´¹Ø×¢±ÈÈü£¬Ð»Ð»£¡	1205	-1	ÖÜÈÕõí¾Ï»î¶¯¹«¸æ	29295
#179	0	0	31976	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	31995
#180	0	0	32012	0	808000	75	0	0	0	0	0	4	120	#PºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#Y½ñÌìÏÂÎç19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	840	60	#Põí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü½«ÔÚ#Y19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	960	30	#Põí¾Ï´óÈüºáÉ¨Äµµ¤Íë»î¶¯ÒÑ¾­¿ªÊ¼£¡Çë´ó¼Òµ½#GÂåÑô³Ç¶ËÍõ¸®[204£¬57]#PÕÒµ½#YÍ¯¹á#P´óÈË¡¢#G´óÀí[282£¬94]#YÏÄÇàÇà#P¡¢#GËÕÖÝ[187£¬147]#YÓÚÙ»Ù»#P²Î¼Ó±ÈÈü£¡	1140	30	#Põí¾Ï´óÈü¼´½«ÔÚ½ñÌìÍíÉÏ#Y23µã#P½áÊø±¾ÈÕµÄ±ÈÈü£¬Çë¸÷Â·Ó¢ÐÛ×¥½ôÊ±¼äÇå³¡ÁË£¡	1200	5	#Põí¾Ï´óÈü±¾ÈÕ±ÈÈüµ½´Ë½áÊø£¬Çë¸÷Â·Ó¢ÐÛÏÂ¸öÔÂÔÙÀ´¹Ø×¢±ÈÈü£¬Ð»Ð»£¡	1205	-1	ÖÜÈÕõí¾Ï»î¶¯¹«¸æ	32095
#181	0	0	35476	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	HoÕt ðµng túc c¥u thông báo	35495
#182	0	0	35512	0	808000	75	0	0	0	0	0	4	120	#PºáÉ¨Äµµ¤Íëõí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü¼´½«ÔÚ#Y½ñÌìÏÂÎç19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	840	60	#Põí¾Ï´óÈü±¾ÔÂ×îÎª¹Ø¼üµÄÒ»³¡±ÈÈü½«ÔÚ#Y19µãÕû#PÀ­¿ªá¡Ä»£¡Çë¸÷Â·Ó¢ÐÛ×éÖ¯¶ÓÎé£¬À÷±øï÷Âí£¬ÁìË«±¸Ò©£¬×¼±¸²ÎÈü£¡	960	30	#Põí¾Ï´óÈüºáÉ¨Äµµ¤Íë»î¶¯ÒÑ¾­¿ªÊ¼£¡Çë´ó¼Òµ½#GÂåÑô³Ç¶ËÍõ¸®[204£¬57]#PÕÒµ½#YÍ¯¹á#P´óÈË¡¢#G´óÀí[282£¬94]#YÏÄÇàÇà#P¡¢#GËÕÖÝ[187£¬147]#YÓÚÙ»Ù»#P²Î¼Ó±ÈÈü£¡	1140	30	#Põí¾Ï´óÈü¼´½«ÔÚ½ñÌìÍíÉÏ#Y23µã#P½áÊø±¾ÈÕµÄ±ÈÈü£¬Çë¸÷Â·Ó¢ÐÛ×¥½ôÊ±¼äÇå³¡ÁË£¡	1200	5	#Põí¾Ï´óÈü±¾ÈÕ±ÈÈüµ½´Ë½áÊø£¬Çë¸÷Â·Ó¢ÐÛÏÂ¸öÔÂÔÙÀ´¹Ø×¢±ÈÈü£¬Ð»Ð»£¡	1205	-1	ÖÜÈÕõí¾Ï»î¶¯¹«¸æ	35595
#183	1	0	25700	39	50058	1440	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ÖÐÇï½ÚÓñÍÃÏÂ·²	27300
184	0	1	54	186	808120	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	-1
185	0	1	54	186	808000	0	0	0	0	0	0	4	30	#{XXWD_8815_06}	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Huy«n Vû Ðäo Lôi Lân S° Phøng	56
