INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
7740	Tê Ði¬u Trß·ng Thành	774	65	9	0	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1484	1696	2758	1696	2334	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7741	Tê Ði¬u Biªn D¸	774	65	9	1	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1574	1798	2924	1798	2474	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7742	Tê Ði¬u Biªn D¸	774	65	9	1	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1662	1900	3088	1900	2614	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7743	Tê Ði¬u Biªn D¸	774	65	9	1	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1752	2002	3254	2002	2754	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7744	Tê Ði¬u Biªn D¸	774	65	9	1	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1840	2104	3420	2104	2894	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7745	Tê Ði¬u Biªn D¸	774	65	9	1	0	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1930	2206	3586	2206	3034	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7749	Tê Ði¬u Bäo Bäo	774	65	9	0	1	10	10	688	450000	-1	-1	712	900000	703	400000	706	250000	670	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1484	1696	2758	1696	2334	1153	1268	1325	1498	1729	500	100	150	200	50	120000	7740
7750	Tê Ði¬u Trß·ng Thành	775	75	9	0	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1542	1762	2864	1762	2424	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7751	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1618	1850	3008	1850	2544	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7752	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1696	1938	3150	1938	2666	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7753	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1774	2026	3294	2026	2788	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7754	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1850	2114	3438	2114	2908	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7755	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1928	2204	3580	2204	3030	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7756	Tê Ði¬u Biªn D¸	775	75	9	1	0	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	2004	2292	3724	2292	3150	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7759	Tê Ði¬u Bäo Bäo	775	75	9	0	1	10	10	688	500000	-1	-1	712	900000	703	450000	706	300000	670	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1542	1762	2864	1762	2424	1255	1380	1443	1631	1882	500	100	150	200	50	120000	7750
7760	Tê Ði¬u Trß·ng Thành	776	85	9	0	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1598	1826	2968	1826	2512	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7761	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1666	1904	3096	1904	2620	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7762	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1734	1982	3222	1982	2726	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7763	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1804	2062	3350	2062	2834	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7764	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1872	2140	3478	2140	2942	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7765	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1940	2218	3604	2218	3050	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7766	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2008	2296	3732	2296	3158	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7767	Tê Ði¬u Biªn D¸	776	85	9	1	0	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2078	2374	3858	2374	3266	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7769	Tê Ði¬u Bäo Bäo	776	85	9	0	1	10	10	688	550000	-1	-1	712	900000	703	500000	706	350000	670	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1598	1826	2968	1826	2512	1357	1492	1560	1764	2035	500	100	150	200	50	120000	7760
7770	Tê Ði¬u Trß·ng Thành	777	95	9	0	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1656	1892	3074	1892	2602	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7771	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1718	1962	3190	1962	2700	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7772	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1780	2034	3306	2034	2796	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7773	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1842	2104	3420	2104	2894	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7774	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1904	2176	3536	2176	2992	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7775	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1966	2246	3652	2246	3090	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7776	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2028	2318	3766	2318	3188	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7777	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2090	2388	3882	2388	3284	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7778	Tê Ði¬u Biªn D¸	777	95	9	1	0	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2152	2460	3998	2460	3382	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7779	Tê Ði¬u Bäo Bäo	777	95	9	0	1	10	10	688	600000	-1	-1	712	900000	703	550000	706	400000	670	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1656	1892	3074	1892	2602	1459	1604	1677	1896	2388	500	100	150	200	50	120000	7770
7780	Hùng Miêu Trß·ng Thành	778	5	9	0	0	100	10	690	300000	-1	-1	658	900000	718	250000	728	100000	668	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1500	2626	1312	1124	1500	846	930	972	1099	1269	100	200	500	150	50	120000	7780
7781	Hùng Miêu Biªn D¸	778	5	9	1	0	100	10	690	300000	-1	-1	658	900000	718	250000	728	100000	668	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1724	3020	1510	1294	1724	846	930	972	1099	1269	100	200	500	150	50	120000	7780
7782	Hùng Miêu Biªn D¸	778	5	9	1	0	100	10	690	300000	-1	-1	658	900000	718	250000	728	100000	668	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1950	3414	1706	1462	1950	846	930	972	1099	1269	100	200	500	150	50	120000	7780
7789	Hùng Miêu Bäo Bäo	778	5	9	0	1	100	10	690	300000	-1	-1	658	900000	718	250000	728	100000	668	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1500	2626	1312	1124	1500	846	930	972	1099	1269	100	200	500	150	50	120000	7780
7790	Hùng Miêu Trß·ng Thành	779	45	9	0	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1566	2740	1370	1174	1566	948	1042	1090	1232	1422	100	200	500	150	50	120000	7790
7791	Hùng Miêu Biªn D¸	779	45	9	1	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1722	3014	1506	1292	1722	948	1042	1090	1232	1422	100	200	500	150	50	120000	7790
7792	Hùng Miêu Biªn D¸	779	45	9	1	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1878	3288	1644	1408	1878	948	1042	1090	1232	1422	100	200	500	150	50	120000	7790
7793	Hùng Miêu Biªn D¸	779	45	9	1	0	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2036	3562	1780	1526	2036	948	1042	1090	1232	1422	100	200	500	150	50	120000	7790
7799	Hùng Miêu Bäo Bäo	779	45	9	0	1	100	10	690	350000	-1	-1	658	900000	718	300000	728	150000	668	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1566	2740	1370	1174	1566	948	1042	1090	1232	1422	100	200	500	150	50	120000	7790
7800	Hùng Miêu Trß·ng Thành	780	55	9	0	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1632	2856	1428	1224	1632	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7801	Hùng Miêu Biªn D¸	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1754	3070	1534	1314	1754	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7802	Hùng Miêu Biªn D¸	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1876	3284	1642	1406	1876	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7803	Hùng Miêu Biªn D¸	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1998	3498	1748	1498	1998	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7804	Hùng Miêu Biªn D¸	780	55	9	1	0	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	2120	3712	1856	1590	2120	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7809	Hùng Miêu Bäo Bäo	780	55	9	0	1	100	10	690	400000	-1	-1	658	900000	718	350000	728	200000	668	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1632	2856	1428	1224	1632	1051	1156	1208	1366	1576	100	200	500	150	50	120000	7800
7810	Hùng Miêu Trß·ng Thành	781	65	9	0	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1696	2970	1484	1272	1696	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7811	Hùng Miêu Biªn D¸	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1798	3148	1574	1348	1798	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7812	Hùng Miêu Biªn D¸	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1900	3326	1662	1424	1900	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7813	Hùng Miêu Biªn D¸	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	2002	3504	1752	1502	2002	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7814	Hùng Miêu Biªn D¸	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	2104	3682	1840	1578	2104	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7815	Hùng Miêu Biªn D¸	781	65	9	1	0	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	2206	3862	1930	1654	2206	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7819	Hùng Miêu Bäo Bäo	781	65	9	0	1	100	10	690	450000	-1	-1	658	900000	718	400000	728	250000	668	12500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1696	2970	1484	1272	1696	1153	1268	1325	1498	1729	100	200	500	150	50	120000	7810
7820	Hùng Miêu Trß·ng Thành	782	75	9	0	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1762	3084	1542	1322	1762	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7821	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1850	3238	1618	1388	1850	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7822	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1938	3394	1696	1454	1938	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7823	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	2026	3548	1774	1520	2026	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7824	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	2114	3702	1850	1586	2114	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7825	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	2204	3856	1928	1652	2204	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7826	Hùng Miêu Biªn D¸	782	75	9	1	0	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	2292	4010	2004	1718	2292	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7829	Hùng Miêu Bäo Bäo	782	75	9	0	1	100	10	690	500000	-1	-1	658	900000	718	450000	728	300000	668	15000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1762	3084	1542	1322	1762	1255	1380	1443	1631	1882	100	200	500	150	50	120000	7820
7830	Hùng Miêu Trß·ng Thành	783	85	9	0	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1826	3196	1598	1370	1826	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7831	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1904	3334	1666	1428	1904	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7832	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1982	3470	1734	1486	1982	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7833	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2062	3608	1804	1546	2062	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7834	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2140	3744	1872	1604	2140	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7835	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2218	3882	1940	1664	2218	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7836	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2296	4018	2008	1722	2296	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7837	Hùng Miêu Biªn D¸	783	85	9	1	0	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2374	4156	2078	1780	2374	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7839	Hùng Miêu Bäo Bäo	783	85	9	0	1	100	10	690	550000	-1	-1	658	900000	718	500000	728	350000	668	17500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1826	3196	1598	1370	1826	1357	1492	1560	1764	2035	100	200	500	150	50	120000	7830
7840	Hùng Miêu Trß·ng Thành	784	95	9	0	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1892	3312	1656	1418	1892	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7841	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1962	3436	1718	1472	1962	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7842	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2034	3560	1780	1526	2034	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7843	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2104	3684	1842	1578	2104	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7844	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2176	3808	1904	1632	2176	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7845	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2246	3932	1966	1684	2246	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7846	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2318	4056	2028	1738	2318	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7847	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2388	4180	2090	1792	2388	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7848	Hùng Miêu Biªn D¸	784	95	9	1	0	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2460	4306	2152	1844	2460	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7849	Hùng Miêu Bäo Bäo	784	95	9	0	1	100	10	690	600000	-1	-1	658	900000	718	550000	728	400000	668	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1892	3312	1656	1418	1892	1459	1604	1677	1896	2388	100	200	500	150	50	120000	7840
7850	Bàng Giäi Trß·ng Thành	785	5	9	0	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2062	1312	1688	1312	846	930	972	1099	1269	200	150	50	100	500	120000	7850
7851	Bàng Giäi Biªn D¸	785	5	9	1	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2804	2372	1510	1940	1510	846	930	972	1099	1269	200	150	50	100	500	120000	7850
7852	Bàng Giäi Biªn D¸	785	5	9	1	0	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	3170	2682	1706	2194	1706	846	930	972	1099	1269	200	150	50	100	500	120000	7850
7859	Bàng Giäi Bäo Bäo	785	5	9	0	1	10	10	684	300000	-1	-1	726	900000	661	250000	702	100000	662	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	2438	2062	1312	1688	1312	846	930	972	1099	1269	200	150	50	100	500	120000	7850
7860	Bàng Giäi Trß·ng Thành	786	45	9	0	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	200	150	50	100	500	120000	7860
7861	Bàng Giäi Biªn D¸	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2798	2368	1506	1938	1506	948	1042	1090	1232	1422	200	150	50	100	500	120000	7860
7862	Bàng Giäi Biªn D¸	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3054	2584	1644	2114	1644	948	1042	1090	1232	1422	200	150	50	100	500	120000	7860
7863	Bàng Giäi Biªn D¸	786	45	9	1	0	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	3308	2798	1780	2290	1780	948	1042	1090	1232	1422	200	150	50	100	500	120000	7860
7869	Bàng Giäi Bäo Bäo	786	45	9	0	1	10	10	684	350000	-1	-1	726	900000	661	300000	702	150000	662	7500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	2544	2152	1370	1762	1370	948	1042	1090	1232	1422	200	150	50	100	500	120000	7860
