INT	INT	INT	INT	STRING	INT	STRING	STRING
100330	3	963	-1	CØu chuy¬n nguyên thú	-1	#e96491f#gFF0FA0	#YNgµ tính, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100331	3	1063	-1	CØu chuy¬n nguyên linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100332	3	1163	-1	CØu chuy¬n nguyên thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100333	3	1263	-1	CØu chuy¬n nguyên tiên thú	-1	#e96491f#gFF0FA0	#YNgµ tính, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100334	3	1363	-1	CØu chuy¬n nguyên th¥n thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GVô Song#Y, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này.
100340	3	1074	-1	CØu chuy¬n siêu thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GThiên HÕ Vô Song#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100341	3	1174	-1	CØu chuy¬n siêu linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100342	3	1274	-1	CØu chuy¬n siêu thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100343	3	1374	-1	CØu chuy¬n siêu tiên thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, tß ch¤t#GVô Song#Y, trß·ng thành #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này.
100344	3	1474	-1	CØu chuy¬n siêu th¥n thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GVô Song#Y, trß·ng thành, tß ch¤t #GKinh Thiên #Ym¾i ðÕt ðßþc danh hi®u này.
100400	3	840	-1	H²n nguyên thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100401	3	940	-1	H²n nguyên linh thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100402	3	1040	-1	H²n nguyên thánh thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100403	3	1140	-1	H²n nguyên tiên thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100404	3	1240	-1	H²n nguyên th¥n thú	-1	#e96491f#gFF0FA0	#YNgµ tính, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100410	3	951	-1	H²n nguyên ð¸a thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100411	3	1051	-1	H²n nguyên ð¸a linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100412	3	1151	-1	H²n nguyên ð¸a thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100413	3	1251	-1	H²n nguyên ð¸a tiên thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GMÕnh M¨#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này.
100414	3	1351	-1	H²n nguyên ð¸a th¥n thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, tß ch¤t#GKinh Thiên#Y, trß·ng thành #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100420	3	1062	-1	H²n nguyên thiên thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100421	3	1162	-1	H²n nguyên thiên linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100422	3	1262	-1	H²n nguyên thiên thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100423	3	1362	-1	H²n nguyên thiên tiên thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này.
100424	3	1462	-1	H²n nguyên thiên th¥n thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, tß ch¤t #GKinh Thiên#Y, trß·ng thành #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100430	3	1173	-1	H²n nguyên nguyên thú	-1	#e96491f#gFF0FA0	#YNgµ tính #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100431	3	1273	-1	H²n nguyên nguyên linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành#GVô Song#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100432	3	1373	-1	H²n nguyên nguyên thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành #GVô Song#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100433	3	1473	-1	H²n nguyên nguyên tiên thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính #GKinh Thiên#Y, trß·ng thành, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này.
100434	3	1573	-1	H²n nguyên nguyên th¥n thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, tß ch¤t #GKinh Thiên#Y, trß·ng thành #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này.
100440	3	1284	-1	H²n nguyên siêu thú	-1	#e96491f#gFF0FA0	#YNgµ tính, Trß¶ng thành #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100441	3	1384	-1	H²n nguyên siêu linh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GMÕnh M¨ #Ym¾i ðÕt ðßþc danh hi®u này.
100442	3	1484	-1	H²n nguyên siêu thánh thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GSiêu Phàm #Ym¾i ðÕt ðßþc danh hi®u này.
100443	3	1584	-1	H²n nguyên siêu tiên thú	-1	#e96491f#gFF0FA0	#YTrân thú có ngµ tính, trß·ng thành #GKinh Thiên#Y, tß ch¤t #GVô Song #Ym¾i ðÕt ðßþc danh hi®u này.
100444	3	1684	-1	H²n nguyên siêu th¥n thú	-1	#e96491f#gFF0FA0	#YNgµ tính, Trß¶ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim #Ythì trân thú ðó m¾i có th¬ nh§n ðßþc danh hi®u này.
100500	3	1050	-1	Càn Khôn Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100501	3	1150	-1	Càn Khôn Linh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100502	3	1250	-1	Càn Khôn Thánh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100503	3	1350	-1	Càn Khôn Tiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100504	3	1450	-1	Càn Khôn Th¥n Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100510	3	1161	-1	Càn Khôn Ð¸a Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100511	3	1261	-1	Càn Khôn Ð¸a Linh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100512	3	1361	-1	Càn Khôn Ð¸a Thánh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100513	3	1461	-1	Càn Khôn Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100514	3	1561	-1	Càn Khôn Ð¸a Th¥n Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100520	3	1272	-1	Càn Khôn Thiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100521	3	1372	-1	Càn Khôn Thiên Linh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100522	3	1472	-1	Càn Khôn Thiên Thánh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100523	3	1572	-1	Càn Khôn Thiên Tiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100524	3	1672	-1	Càn Khôn Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100530	3	1383	-1	Càn Khôn Nguyên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100531	3	1483	-1	Càn Khôn Nguyên Linh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100532	3	1583	-1	Càn Khôn Nguyên Thánh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y  m¾i có th¬ nh§n ðßþc danh hi®u này.
100533	3	1683	-1	Càn Khôn Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100534	3	1783	-1	Càn Khôn Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y, Trß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100540	3	1494	-1	Càn Khôn Siêu Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100541	3	1594	-1	Càn Khôn Siêu Linh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100542	3	1694	-1	Càn Khôn Siêu Thánh Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100543	3	1794	-1	Càn Khôn Siêu Tiên Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
100544	3	1894	-1	Càn Khôn Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	Trân Thú có #YNgµ tính #GNgh¸ch Chuy¬n Càn Khôn#Y, Trß·ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101001	3	105	-1	Äo Hóa Linh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101002	3	205	-1	Äo Hóa Thánh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101003	3	305	-1	Äo Hóa Tiên Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101004	3	405	-1	Äo Hóa Th¥n Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101010	3	116	-1	Äo Hóa Ð¸a Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101011	3	216	-1	Äo Hóa Ð¸a Linh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101012	3	316	-1	Äo Hóa Ð¸a Thánh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101013	3	416	-1	Äo Hóa Ð¸a Tiên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101014	3	516	-1	Äo Hóa Ð¸a Th¥n Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101020	3	227	-1	Äo Hóa Thiên Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101021	3	327	-1	Äo Hóa Thiên Linh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101022	3	427	-1	Äo Hóa Thiên Thánh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101023	3	527	-1	Äo Hóa Thiên Tiên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101024	3	627	-1	Äo Hóa Thiên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GSiêu Phàm Thoát Tøc#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101030	3	338	-1	Äo Hóa Nguyên Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101031	3	438	-1	Äo Hóa Nguyên Linh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101032	3	538	-1	Äo Hóa Nguyên Thánh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101033	3	638	-1	Äo Hóa Nguyên Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101034	3	738	-1	Äo Hóa Nguyên Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GThiên HÕ Vô Song#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101040	3	449	-1	Äo Hóa Siêu Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101041	3	549	-1	Äo Hóa Siêu Linh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101042	3	649	-1	Äo Hóa Siêu Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101043	3	749	-1	Äo Hóa Siêu Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành #GCh¤n C± Thß¾c Kim#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101044	3	849	-1	Äo Hóa Siêu Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YTrß·ng thành, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101100	3	215	-1	Äo Hóa Trß¶ng Sinh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101101	3	315	-1	Äo Hóa Trß¶ng Sinh Linh Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101102	3	415	-1	Äo Hóa Trß¶ng Sinh Thánh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101103	3	515	-1	Äo Hóa Trß¶ng Sinh Tiên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101104	3	615	-1	Äo Hóa Trß¶ng Sinh Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101110	3	326	-1	Äo Hóa Trß¶ng Sinh Ð¸a Thú	-1	#e195e1a#c72d27c	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101111	3	426	-1	Äo Hóa Trß¶ng Sinh Ð¸a Linh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101112	3	526	-1	Äo Hóa Trß¶ng Sinh Ð¸a Thánh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101113	3	626	-1	Äo Hóa Trß¶ng Sinh Ð¸a Tiên Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GThiên HÕ Vô Song#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101114	3	726	-1	Äo Hóa Trß¶ng Sinh Ð¸a Th¥n Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Trß·ng thành #GTrác Nhî B¤t Qu¥n#Y, Tß ch¤t #GCh¤n C± Thß¾c Kim#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101120	3	437	-1	Äo Hóa Trß¶ng Sinh Thiên Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101121	3	537	-1	Äo Hóa Trß¶ng Sinh Thiên Linh Thú	-1	#ebb3e9f#cfd94b0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính, Tß ch¤t #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
101122	3	637	-1	Äo Hóa Trß¶ng Sinh Thiên Thánh Thú	-1	#e96491f#gFF0FA0	#YSau khi Äo Hóa, Trân Thú có #YNgµ tính #GTrác Nhî B¤t Qu¥n#Y, Trß·ng thành, Tß ch¤t #GSiêu Phàm Thoát Tøc#Y m¾i có th¬ nh§n ðßþc danh hi®u này.
