INT	STRING
277	Chúc m×ng bang hµi %s cüa các hÕ ð£t lãnh ð¸a thành công tÕi %s. Các hÕ có th¬ ð£t ra phß½ng hß¾ng nghiên cÑu và phát tri¬n bän bang. Tài chính bang hµi s¨ ðßþc cüng c¯ qua hoÕt ðµng thß½ng nhân, trß¾c m¡t các hÕ có th¬ b± nhi®m 8 ngß¶i Bang Chúng làm Thß½ng Nhân tiªn hành chÕy thß½ng.
278	Chï có bang chü m¾i có th¬ thñc hi®n thao tác này!
279	SØa chæa th¤t bÕi, trang b¸ ðã hªt hÕn sØa chæa.
280	SØa chæa thành công!
281	Nhi®m vø phía trß¾c
282	Nhi®m vø phía sau
283	Nhi®m vø này chßa ðßþc ði«u chïnh, ti«n tài ðÕt ðßþc không thay ð±i.
284	B± sung Bang c¯ng 
285	B± sung Ngân lßþng 
286	Nh§n thß·ng tiêu hao Bang c¯ng 
287	Nh§n thß·ng tiêu hao Ngân lßþng 
288	Trong vòng 24 gi¶ chï có th¬ nh§n nhi®m vø quän lý Bang hµi 1 l¥n.
289	Không có Ð°ng minh
290	Bang hµi này không phäi thành viên cüa Ð°ng minh
291	Hüy quan h® Ð°ng minh thành công!
292	Chï có Minh Chü m¾i có th¬ khai tr× Ð°ng minh!
293	Không th¬ khai tr× Minh Chü cüa Bang hµi.
294	Tình trÕng giao hàng, không th¬ truy«n t¯ng!
295	#{_INFOUSR%s} mua #{_INFOMSG%s} X %d, t±ng cµng tiêu hao %d Nguyên Bäo.
296	V§t ph¦m này chï có th¬ mua b¢ng Nguyên Bäo.
297	Thß½ng ti®m Nguyên Bäo
298	Các hÕ ðang trong trÕng thái biªn thân, không th¬ truy«n t¯ng!
299	TrÕng thái biªn thân không th¬ truy«n t¯ng!
300	#PPhong Vân Tª Hµi, Long Tranh H± Ð¤u. Bang hµi #H%s#P ðã tuyên chiªn v¾i bang hµi #H%s#P. Li®u bang hµi #H%s#P có tiªp chiªn không, hai bên ð¯i chiªn ai th¡ng ai bÕi, th§t khiªn chúng ta möi m¡t mong ch¶!
301	#IC¤p báo! Bang hµi #H%s#I không biªt tr¶i cao ð¤t rµng, ðã tuyên chiªn v¾i bang hµi chúng ta. Thïnh Bang Chü hãy t§p hþp nhân lñc chiªn ð¤u hªt mình cüng c¯ uy danh bän bang, ðánh cho #H%s#I mµt tr§n tä t½i tan bành khói lØa!
302	#H%s#PBän bang ðã tiªp nh§n yêu c¥u tuyên chiªn cüa bang hµi #H%s#P. Kèn tr¯ng ðã n±i lên, th¡ng làm vua, thua làm gi¡c, chï trong khoänh kh¡c là có th¬ rõ ngay. Các chiªn binh anh dûng cüa bän bang, hãy ði dành vinh quang cho bang hµi mình ði!
303	#H%s#PCác bang hµi ðã ch¸u khu¤t phøc trß¾c sñ l¾n mÕnh cüa bang hµi #H%s#P. Thiên hÕ rµng l¾n, chä nh¨ không có bang hµi nào là ð¯i thü cüa bang hµi #H%s#P sao?
304	#IBän bang cùng bang hµi #H%s#I tiªn hành chiªn tranh, hªt sÑc cång thÆng. Các thành viên bang hµi, các v¸ hãy góp sÑc cùng bän bang nghênh ð¸ch, cùng ra tr§n giªt gi£c l§p công nào! Hãy ðªn LÕc Dß½ng - Chu Nhiên tham gia chiªn trß¶ng nào!
305	#PChiªn tranh ðã kªt thúc. Bang hµi #H%s#P nh¶ sÑc mÕnh ð°ng tâm hi®p lñc cüa các thành viên ðã ðánh cho bang hµi #H%s#P ðÕi bÕi nß¾c chäy hoa r½i. M÷i ngß¶i hãy cùng v« quäng trß¶ng LÕc Dß½ng ngþi khen h÷ nào!
306	#PChiªn tranh ðã kªt thúc. Bang hµi #H%s#P s¯ lßþng nhân sÛ không ðü, kÛ nång thua kém bang hµi #H%s#P nên ðã ðÕi bÕi. Tñ giác thay hình ð±i dÕng, m£t xám mày tro ðÑng nép mµt góc · Tây Môn thành LÕc Dß½ng, trông nhß mµt bÑc tß¶ng ð±. M÷i ngß¶i hãy nhìn kìa #3!
307	Các hÕ ðã r¶i khöi bang hµi, danh hi®u #Y%s#W ðã m¤t hi®u lñc.
308	Bang hµi cüa các hÕ ðã m¤t thành th¸, danh hi®u #Y%s# ðã m¤t hi®u lñc.
309	#{_INFOUSR%s} mua trân thú #{_INFOMSG%s}, tiêu hao %d Nguyên Bäo.
