INT	INT	INT	STRING	STRING
100	70	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P&S#P tu luy®n QuÏ Hoa Bäo Ði¬n ðúng tÕi th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n có th¬ dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn #W&U#P ðµt nhiên xâm nh§p trong ðµng l¤y ði #W&I #P, trong lòng tÑc gi§n: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i tÕm bi®t cõi ð¶i!.
101	71	4	Tân Bän Sao Thiên Kiªp Lâu	#G&S#R m¡t th¤y không ð¸ch lÕi #Y&U#R, bèn l¤y ra mµt cái #Y&I#R mu¯n ngån cän mµt chút, nhßng lÕi b¸ #Y&U#R thân thü cao siêu ðoÕt ði m¤t.
102	72	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P&S#P tu luy®n QuÏ Hoa Bäo Ði¬n ðúng tÕi th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n có th¬ dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn #W&U#P ðµt nhiên xâm nh§p trong ðµng l¤y ði #W&I #P, trong lòng tÑc gi§n: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i tÕm bi®t cõi ð¶i!.
103	73	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P&S#P tu luy®n QuÏ Hoa Bäo Ði¬n ðúng tÕi th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n có th¬ dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn #W&U#P ðµt nhiên xâm nh§p trong ðµng l¤y ði #W&I #P, trong lòng tÑc gi§n: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i tÕm bi®t cõi ð¶i!.
104	74	4	Tân Bän Sao Thiên Kiªp Lâu	#G&S#R th¤y ngß¶i t¾i cØa khiêu chiªn, nh¤t th¶i ð¥u óc không minh, nghî ngþi, tß·ng tßþng suy tß, kªt quä ðem mµt cái #Y&I#R ném t¾i trß¾c m£t #Y&U#R.
105	75	4	Tân Bän Ð° Thanh Nguyên S½n	#G&S#R m¡t th¤y không ð¸ch lÕi #Y&U#R, bèn l¤y ra mµt cái #Y&I#R mu¯n ngån cän mµt chút, nhßng lÕi b¸ #Y&U#R thân thü cao siêu ðoÕt ði m¤t.
106	76	4	Tân Bän Ð° Thanh Nguyên S½n	#G&S#R th¤y ngß¶i t¾i cØa khiêu chiªn, nh¤t th¶i ð¥u óc không minh, nghî ngþi, tß·ng tßþng suy tß, kªt quä ðem mµt cái #Y&I#R ném t¾i trß¾c m£t #Y&U#R.
107	77	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P&S#P tu luy®n QuÏ Hoa Bäo Ði¬n ðúng tÕi th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n có th¬ dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn #W&U#P ðµt nhiên xâm nh§p trong ðµng l¤y ði #W&I #P, trong lòng tÑc gi§n: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i tÕm bi®t cõi ð¶i!.
108	78	4	HoÕt Ðµng Thß¶ng Nh§t	 #b#P&S#P tu luy®n QuÏ Hoa Bäo Ði¬n ðúng tÕi th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n có th¬ dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn #W&U#P ðµt nhiên xâm nh§p trong ðµng l¤y ði #W&I #P, trong lòng tÑc gi§n: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i tÕm bi®t cõi ð¶i!.
109	79	4	Phï T£c	 #W&U#P cùng t± ðµi tÕi #G&S#P tung hoành ngang d÷c, v×a m¾i san b¢ng sào huy®t cüa #G&S#P. Cu¯i cùng · bäo kh¯ bên trong phát hi®n #W&I#P!
110	80	4	Mã T£c	 #W&U#P cùng t± ðµi tÕi #G&S#P tung hoành ngang d÷c, v×a m¾i san b¢ng sào huy®t cüa #G&S#P. Cu¯i cùng · bäo kh¯ bên trong phát hi®n #W&I#P!
111	81	4	Mã T£c	 #W&U#P cùng t± ðµi tÕi #G&S#P tung hoành ngang d÷c, v×a m¾i san b¢ng sào huy®t cüa #G&S#P. Cu¯i cùng · bäo kh¯ bên trong phát hi®n #W&I#P!
112	82	4	C± Mµ	 #W&U#P ðang · #G&S#P, b¸ #G&S#P phát hi®n, cho nên nh¤t th¶i phän kháng, cûng may thành công ðánh chªt BOSS, ðÕt ðßþc #W&I#P!
113	83	4	C± Mµ	 #W&U#P ðang · #G&S#P, b¸ #G&S#P phát hi®n, cho nên nh¤t th¶i phän kháng, cûng may thành công ðánh chªt BOSS, ðÕt ðßþc #W&I#P!
114	84	4	Thúc Hà	 #W&U#P · #G&S#P cùng #GSß½ng Änh#P tiªn hành ðã ð¤u, #GSß½ng Änh#P chung không ð¸ch lÕi #W&U#P, bö lÕi #G&I#P chÕy tr¯n m¤t tiêu!
115	85	4	Côn Lôn	 #W&U#P · #G& #P cùng #GBOSS#P tiªn hành ðã ð¤u, #GBOSS#P chung không ð¸ch lÕi #W&U#P, bèn bö lÕi #G&I#P chÕy tr¯n m¤t tiêu!
116	86	4	T£c Sî Quan Møc	 #W&U#P · #G&S#P cùng #GT£c SÛ Quan Møc#P k¸ch li®t giao chiªn, #GT£c SÛ Quan Møc#P b¸ ðánh bÕi b·i #W&U#P, chü ðµng trä lÕi #G&I#P d½ tay ð¥u hàng!
117	87	4	B÷n ÐÕo Chích Ð¥u Møc	 Chúc m×ng #W&U#P tiêu di®t thành công #GÁc Bá#P, ðÕt ðßþc mµt quy¬n môn phái cao c¤p kÛ nång thß #G&I#P, th§t là may m¡n!
118	88	4	Lâu Lan T¥m Bäo	 Chúc m×ng #W&U#P · #GLâu Lan T¥m Bäo #P, ðÕt ðßþc mµt cái #Y&I#P!
119	89	4	TÑ ÐÕi Th¥n Thú	 Chúc m×ng #W&U#P · #GQuân Thiên Vß½ng Lång#P ðánh bÕi #GTÑ ÐÕi Th¥n Thú #P, ðÕt ðßþc #Y&I#P, th§t ðáng m×ng!
120	90	4	TÑ Tuy®t S½n Trang	 Chúc m×ng #W&U#P · #GTÑ Tuy®t S½n Trang #P ðánh bÕi #GBàng Xí#P - võ lâm cao thü #P, ðÕt ðßþc #Y&I#P, th§t ðáng m×ng!
121	91	4	Tô Châu Tam Hoàn	 Chúc m×ng #W&U#P · #GTô Châu Tam Hoàn#P, ðÕt ðßþc #Y&I#P, th§t là ðáng ngßÞng mµ!
122	92	4	Phï T£c	 #b&S#P tu luy®n Løc MÕch Th¥n Kiªm ðªn th¶i ði¬m quan tr÷ng, mµt chút sai l¥m li«n dçn ðªn t¦u höa nh§p ma, kinh mÕch ðÑt t×ng khúc, chï có th¬ tr½ m¡t nhìn#W&U#P ðµt nhiên vào trong ðµng l¤y ði #W&I #P, trong lòng bñc tÑc: Ti¬u t£c, l¥n sau g£p m£t chính là ngày ngß½i v« tr¶i!.
123	93	4	Thiªu Th¤t S½n	 #b&S#P g£p ngß¶i t¾i cØa thách ð¤u, nh¤t th¶i ð¥u óc không minh, nghî l¥m ð¯i phß½ng t¾i n¸nh n÷t, vì thª ðem #W&I#P thß·ng cho #W&U#P.
124	94	4	Sinh TØ Lôi Ðài	 #W&U#P dçn d¡t t± ðµi · #b&S#P khiêu chiªn 12 sát tinh, ðÕi chiªn mµt tråm hi®p, r¯t cuµc chiªn th¡ng, sát tinh cu¯ng quít l¤y ra #G&I#P d½ tay nh§n thua.
125	95	4	Thánh Höa Cung	 #Y&S#P n¡m trong tay kÏ bäo, ðµt nhiên #W&U#P bay ra, cß¾p ði #W&I #P.
126	96	4	Binh Thánh KÏ Tr§n	 #W&U#P sØ døng tuy®t kÛ Bång Thiên Tuyªt Ð¸a, #b&S#P ch¯ng ðÞ không n±i cái th¤u xß½ng giá lÕnh này, bèn tê li®t, trên ngß¶i r½i xu¯ng mµt cái #W&I #P.
127	97	4	Phßþng Hoàng	 — #b&S#G Thiên c½, Ð¸a sát #Pðang · h¤p thø tinh hoa cäu tr¶i ð¤t, ðµt nhiên b¸ #W&U#P t× sau lßng ôm l¤y, bèn mµt phen kinh ngÕc dãy døa, trên ngß¶i r½i ra  #W&I#P.
